Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,889.30,895.95,882.10,895.00,890.533745045300113250,56512,2574,50325843.00,23978,42.43,13.85,5.70
31-December-2025,887.30,889.95,879.05,886.25,885.221907671812099973,138116,4548,122263309.00,58802,42.57,10.90,-1.05
30-December-2025,866.35,888.00,863.75,884.20,878.568574198794803894,191836,8233,168541081.00,108066,56.33,24.25,17.85
29-December-2025,890.70,890.70,861.05,865.25,871.948894566596066198,164777,5423,143677123.00,54986,33.37,29.65,-25.45
26-December-2025,868.60,874.50,860.90,872.80,869.286541657365379368,80634,2838,70094051.00,28329,35.13,13.60,4.20
24-December-2025,864.05,882.30,862.20,864.20,871.177237553443341224,169806,6776,147931122.00,87673,51.63,20.10,0.15
23-December-2025,871.95,871.95,861.35,863.90,866.578762584805269299,202228,3805,175246490.00,156377,77.33,10.60,-8.05
22-December-2025,856.70,872.65,856.70,864.45,867.184756678347038108,114437,4140,99238022.00,48448,42.34,15.95,7.75
19-December-2025,860.00,864.50,847.65,851.75,854.070260657962468997,106845,4310,91253137.00,45685,42.76,16.85,-8.25
18-December-2025,851.45,862.00,847.80,857.10,856.326961868187284223,103116,2820,88301011.00,40416,39.19,14.20,5.65
17-December-2025,843.00,851.90,842.30,848.65,846.995029743268628678,76656,3087,64927251.00,38125,49.74,9.60,5.65
16-December-2025,847.65,847.65,831.05,837.35,837.145663941034204767,43415,2532,36344679.00,17351,39.97,16.60,-10.30
15-December-2025,852.30,856.40,845.15,847.70,849.502634165345894686,112939,3585,95941978.00,76435,67.68,11.25,-4.60
12-December-2025,825.25,855.00,825.25,852.30,840.746381921878691974,3296847,7052,2771812187.00,3164447,95.98,29.75,27.05
11-December-2025,828.85,830.50,820.90,824.55,825.495138595750668355,142140,5181,117335879.00,108955,76.65,9.60,-4.30
10-December-2025,815.00,831.85,815.00,821.80,824.318584666356059429,193170,5610,159233621.00,130885,67.76,16.85,6.80
9-December-2025,820.00,820.00,803.30,812.25,810.547710608113493265,100376,2516,81359537.00,41397,41.24,16.70,-7.75
8-December-2025,823.20,833.20,817.50,819.05,826.691708208332393476,88666,3561,73299447.00,41290,46.57,15.70,-4.15
5-December-2025,812.85,831.55,808.20,823.15,822.026981158829472340,225676,3536,185511761.00,158652,70.30,23.35,10.30
4-December-2025,822.75,826.50,809.00,810.60,817.240345772662917115,153974,5097,125833765.00,93662,60.83,17.50,-12.15
3-December-2025,814.20,819.90,801.50,816.85,808.520475298718947316,241364,6363,195147736.00,162571,67.36,18.40,2.65
2-December-2025,811.15,813.20,802.10,806.20,806.888221890469081480,63635,2103,51346332.00,35520,55.82,11.10,-4.95
1-December-2025,808.85,817.75,808.25,811.15,812.144875894212009538,73808,2854,59942789.00,39164,53.06,9.50,2.30
28-November-2025,814.50,814.85,806.85,808.45,810.046355764641712688,293340,2818,237618998.00,215814,73.57,8.00,-6.05
27-November-2025,808.70,814.00,800.30,807.30,805.653404443554175638,119814,2546,96528557.00,60450,50.45,13.70,-1.40
26-November-2025,790.85,802.70,788.40,799.60,797.333209403198946593,258210,3756,205879408.00,193289,74.86,14.30,8.75
25-November-2025,780.40,791.60,773.80,788.55,784.023190983222205702,349748,7058,274210543.00,275430,78.75,17.80,8.15
24-November-2025,780.40,788.00,772.25,774.85,778.304403871711070424,175323,3427,136454663.00,93561,53.36,15.75,-5.55
21-November-2025,788.00,788.00,776.05,777.10,779.821413561922550948,299810,5141,233798258.00,213347,71.16,11.95,-10.90
20-November-2025,798.80,802.60,790.00,799.60,797.401399273794612922,158082,2402,126054808.00,90756,57.41,12.60,0.80
19-November-2025,794.65,797.00,790.00,790.70,793.762380560337300102,80166,2555,63632755.00,45516,56.78,7.00,-3.95
18-November-2025,807.15,807.15,787.95,797.20,793.059434646049770475,169699,6997,134581393.00,93532,55.12,19.20,-9.95
17-November-2025,803.65,818.30,799.45,807.25,802.889129166582848866,397688,3792,319299372.00,356250,89.58,18.85,3.60
14-November-2025,807.95,812.15,796.00,803.35,804.295381858977579076,119442,3715,96066649.00,71449,59.82,16.15,-4.60
13-November-2025,799.85,816.10,799.85,812.15,807.949288729983644593,210328,4816,169934358.00,121471,57.75,16.25,12.30
12-November-2025,795.40,809.00,793.00,794.05,800.780673430865392947,530834,6582,425081608.00,393997,74.22,16.00,-1.35
11-November-2025,791.80,795.00,778.30,793.85,781.772347707828917232,351479,5463,274776563.00,285410,81.20,16.70,2.05
10-November-2025,793.25,799.70,784.00,785.15,792.700806656278091253,421617,13529,334216136.00,305577,72.48,15.70,-8.10
7-November-2025,788.85,802.75,784.15,790.40,788.611352456751229757,542790,4901,428050356.00,401806,74.03,18.60,1.55
6-November-2025,799.50,799.50,770.40,788.05,782.164377581812322385,682660,21003,533952334.00,400886,58.72,29.10,-11.45
4-November-2025,843.90,846.40,829.35,830.95,838.938966333133783745,35079,1471,29429140.00,14617,41.67,17.05,-12.95
