year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,87695,79671,8024,9,677,2702,3347,2653,20,2195,10.53,9
2015-03-01,104281,95437,8844,8,-832,4178,3493,340,75,259,4.14,24
2016-03-01,98759,90981,7778,8,1500,5134,4347,-203,245,-702,-1.21,-82
2017-03-01,100184,87867,12317,12,1198,5742,4457,3315,43,1882,8.47,13
2018-03-01,115183,101488,13695,12,2879,3911,4506,8157,25,6083,27.1,4
2019-03-01,130542,115031,15511,12,1127,3778,4777,8083,32,5495,24.48,5
2020-03-01,118144,103838,14306,12,906,4197,5091,5924,36,3767,16.77,6
2021-03-01,132008,114449,17559,13,-987,3738,6628,6206,44,3483,15.5,19
2022-03-01,195059,166712,28347,15,1253,3768,6729,19103,28,13730,61.1,6
2023-03-01,223202,200536,22666,10,1307,3646,7086,13241,24,10097,44.93,7
2024-03-01,215962,192090,23872,11,1519,3858,7521,14012,28,10155,45.19,8
2025-03-01,238496,206691,31805,13,1832,3419,7881,22337,28,16002,71.2,7
2026-03-03,261701,228002,33699,13,-219,3312,8573,21595,,16078,71.55,
