year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,303,20871,35527,20939,77640,47046,9400,663,20531,77640
2015-03-01,303,21987,38754,24610,85654,52176,8265,599,24613,85654
2016-03-01,301,18665,42204,20737,81907,56140,7271,1195,17302,81907
2017-03-01,301,22346,43334,22024,88005,58730,4363,1366,23546,88005
2018-03-01,302,27696,39393,24579,91970,57848,5950,1469,26703,91970
2019-03-01,301,34494,47396,32606,114797,62644,11889,1894,38370,114797
2020-03-01,301,36298,61423,33798,131820,62085,27191,1259,41285,131820
2021-03-01,302,45308,66727,34826,147163,64917,32566,7427,42253,147163
2022-03-01,301,66996,72237,56951,196485,99880,16905,4940,74760,196485
2023-03-01,301,65394,80853,63991,210539,104452,22166,4806,79115,210539
2024-03-01,305,77364,87984,62245,227898,112461,29676,7246,78515,227898
2025-03-01,305,79191,98752,62197,240445,124466,21007,15217,79755,240445
2025-09-01,305,82628,101107,66395,250435,126324,20544,15606,87961,250435
