Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,1164.95,1176.90,1160.45,1171.55,1168.427553100735963910,69161,3403,80809618.00,30816,44.56,16.45,6.60
31-December-2025,1121.90,1168.65,1121.90,1164.95,1161.786290734044677122,450790,13881,523721642.00,245756,54.52,46.75,43.05
30-December-2025,1093.45,1113.90,1089.40,1111.65,1096.882514208457474775,79882,2348,87621169.00,62173,77.83,24.50,18.20
29-December-2025,1098.90,1110.85,1090.00,1092.10,1101.501160651716888577,45664,3339,50298949.00,24725,54.15,20.85,-6.80
26-December-2025,1093.00,1099.00,1082.00,1094.20,1090.955018387299309355,22298,2074,24326115.00,10523,47.19,17.00,1.20
24-December-2025,1097.25,1101.75,1088.40,1091.45,1093.993861929520508376,13848,951,15149627.00,7063,51.00,13.35,-5.80
23-December-2025,1097.60,1102.60,1092.50,1095.75,1097.541569767441860465,13760,1086,15102172.00,7263,52.78,10.10,-1.85
22-December-2025,1081.65,1099.55,1078.70,1094.65,1093.599616009452075025,13542,1002,14809526.00,5350,39.51,20.85,13.00
19-December-2025,1089.90,1090.00,1076.00,1079.50,1081.547112462006079027,10199,681,11030699.00,5320,52.16,14.00,-10.40
18-December-2025,1076.85,1091.35,1072.90,1081.80,1074.241345560096951570,238057,2167,255730672.00,210460,88.41,18.45,4.95
17-December-2025,1086.05,1093.65,1075.85,1079.40,1082.270989454790217635,22285,1757,24118409.00,10901,48.92,17.80,-6.65
16-December-2025,1115.95,1115.95,1081.00,1083.35,1085.659126392732950109,169092,1833,183576273.00,153300,90.66,34.95,-32.60
15-December-2025,1124.55,1124.55,1110.00,1114.25,1114.587835285228560634,15882,1452,17701884.00,8973,56.50,14.55,-10.30
12-December-2025,1108.90,1128.85,1108.90,1124.80,1120.119323485805282521,36422,1894,40796986.00,21391,58.73,19.95,15.90
11-December-2025,1097.00,1110.95,1095.60,1105.55,1103.171264997868323284,16419,1623,18112969.00,7628,46.46,15.35,8.55
10-December-2025,1104.95,1113.00,1090.35,1096.95,1102.284632474888130925,31957,2348,35225710.00,18204,56.96,22.65,-8.00
9-December-2025,1118.95,1120.00,1099.50,1106.35,1110.949577989696371807,36492,2398,40540772.00,16556,45.37,20.50,-12.60
8-December-2025,1160.20,1167.25,1115.30,1119.30,1132.984459789855331735,83847,4570,94997348.00,60993,72.74,51.95,-40.90
5-December-2025,1151.00,1170.00,1143.45,1167.25,1157.291559265169182930,24441,2503,28285363.00,13109,53.64,26.55,16.25
4-December-2025,1160.35,1165.00,1143.50,1150.50,1150.316838136027186816,85924,2590,98839824.00,21189,24.66,21.50,-9.85
3-December-2025,1160.70,1171.70,1104.00,1147.50,1136.743096470106050514,78076,4535,88752354.00,18132,23.22,67.70,-13.20
2-December-2025,1167.95,1168.60,1159.60,1161.75,1163.556565298342051600,22558,1528,26247509.00,16367,72.56,9.00,-6.20
1-December-2025,1154.30,1185.00,1154.30,1167.95,1171.420497297297297297,46250,3110,54178198.00,24192,52.31,30.70,13.65
28-November-2025,1158.45,1172.00,1154.75,1160.50,1162.131946414970354993,66959,1664,77815193.00,51751,77.29,17.25,2.05
27-November-2025,1156.15,1162.90,1137.75,1160.25,1152.335503064912245672,50083,3670,57712419.00,18320,36.58,25.15,4.10
26-November-2025,1115.05,1156.60,1114.10,1154.45,1146.745907220462417478,67558,3675,77471860.00,35451,52.47,42.50,39.40
25-November-2025,1106.10,1124.00,1106.10,1111.80,1116.518004582198590757,23133,1943,25828411.00,10452,45.18,17.90,5.70
24-November-2025,1142.45,1144.20,1104.05,1106.10,1118.379430952794383945,40313,3028,45085230.00,19861,49.27,40.15,-36.35
21-November-2025,1164.15,1166.25,1133.00,1140.50,1151.157818237454100367,13072,1236,15047935.00,6655,50.91,33.25,-23.65
20-November-2025,1169.50,1174.85,1161.30,1169.75,1169.158549421108027939,10451,812,12218876.00,5022,48.05,13.55,0.25
19-November-2025,1164.00,1170.35,1158.10,1164.65,1164.454775458570524984,9486,646,11046018.00,3978,41.94,12.25,0.65
18-November-2025,1173.95,1178.90,1153.60,1161.95,1161.888535823823602553,36191,2070,42049908.00,22369,61.81,25.30,-12.00
17-November-2025,1171.70,1177.00,1165.50,1175.30,1171.530601569311246730,11470,718,13437456.00,5745,50.09,11.50,3.60
14-November-2025,1184.70,1184.70,1159.80,1167.15,1168.523960216998191681,15484,1071,18093425.00,8320,53.73,24.90,-17.55
13-November-2025,1189.90,1200.20,1178.40,1183.10,1189.666695117787640833,35148,2613,41814405.00,13606,38.71,21.80,-6.80
12-November-2025,1192.05,1200.00,1180.00,1185.90,1185.480421686746987951,17928,1564,21253293.00,8746,48.78,20.00,-6.15
11-November-2025,1184.90,1206.40,1166.55,1192.00,1191.360904742519845308,39304,4334,46825249.00,20130,51.22,39.85,7.10
10-November-2025,1174.75,1184.70,1171.45,1179.35,1177.381313616285769156,31242,2484,36783747.00,16455,52.67,13.25,4.60
7-November-2025,1164.85,1182.20,1152.00,1171.75,1166.319692869944126225,56914,3285,66379919.00,18000,31.63,30.20,6.90
6-November-2025,1182.85,1182.85,1162.00,1168.45,1169.848604492852280462,14690,1103,17185076.00,7797,53.08,20.85,-14.40
4-November-2025,1200.05,1201.00,1175.35,1181.20,1186.615689430994984830,16151,1214,19165030.00,4439,27.48,25.65,-18.85
3-November-2025,1210.05,1217.25,1189.25,1194.30,1202.454350941644294624,49541,2893,59570791.00,26038,52.56,28.00,-15.75
31-October-2025,1209.90,1215.90,1198.80,1206.05,1207.758483254912814835,18065,1580,21818157.00,8231,45.56,17.10,-3.85
30-October-2025,1211.85,1211.85,1199.35,1209.90,1205.428602832647677668,31843,2242,38384463.00,17018,53.44,12.50,-1.95
29-October-2025,1191.55,1223.75,1184.00,1208.50,1212.098218257450978034,166354,7829,201637387.00,77357,46.50,39.75,16.95
28-October-2025,1145.10,1186.50,1145.10,1184.25,1171.052021510063202282,197303,6878,231052077.00,130435,66.11,41.40,39.15
27-October-2025,1150.00,1156.50,1143.30,1150.35,1150.328476017000607164,74115,2928,85256595.00,57789,77.97,13.20,0.35
24-October-2025,1138.25,1150.95,1131.80,1140.35,1140.911483910324843678,32785,2187,37404783.00,18947,57.79,19.15,2.10
23-October-2025,1160.00,1160.90,1135.10,1138.25,1150.421469719129630182,67006,4066,77085141.00,26264,39.20,25.80,-21.75
21-October-2025,1147.10,1155.30,1147.10,1152.45,1152.304966598896311356,17215,1106,19836930.00,7206,41.86,8.20,5.35
20-October-2025,1175.40,1175.40,1140.00,1145.20,1151.561760282482181390,30586,2010,35221668.00,12376,40.46,35.40,-30.20
17-October-2025,1173.90,1177.90,1150.00,1162.80,1167.426544257608762875,145523,3525,169887413.00,100190,68.85,27.90,-11.10
16-October-2025,1163.90,1172.95,1158.85,1171.85,1167.135013954339570846,87428,1723,102040280.00,75820,86.72,14.10,7.95
15-October-2025,1149.95,1163.50,1145.60,1160.35,1158.253819918144611186,14660,1018,16980001.00,8582,58.54,17.90,10.40
14-October-2025,1163.50,1169.65,1139.15,1147.75,1156.258258472360853652,42078,2910,48653035.00,18643,44.31,30.50,-15.75
13-October-2025,1159.50,1163.90,1154.00,1161.95,1158.769319145444100992,36557,2444,42361130.00,19784,54.12,9.90,2.45
10-October-2025,1176.00,1176.00,1155.65,1168.05,1162.270158766289193649,70292,3832,81698294.00,46867,66.67,20.35,-7.95
9-October-2025,1147.85,1178.50,1147.35,1176.00,1172.156420812690437978,85986,4705,100789042.00,63273,73.59,31.15,28.15
8-October-2025,1155.90,1160.25,1142.15,1144.80,1149.492272467086433886,55904,1858,64261216.00,46949,83.98,18.10,-11.10
7-October-2025,1161.95,1173.15,1155.00,1156.75,1164.588743108679858113,23399,1384,27250212.00,8020,34.27,18.15,-5.20
6-October-2025,1156.30,1164.00,1149.25,1159.65,1155.902595817397672715,36867,2617,42614661.00,19426,52.69,14.75,3.35
3-October-2025,1145.95,1175.65,1145.95,1162.10,1159.955444568574620490,91302,2969,105906252.00,69636,76.27,29.70,16.15
1-October-2025,1145.05,1148.50,1132.00,1145.95,1141.215311820623214970,23459,1766,26771770.00,11026,47.00,16.50,0.90
30-September-2025,1127.90,1149.75,1127.00,1142.90,1140.534804886126750959,102658,3212,117085022.00,80029,77.96,22.75,15.00
29-September-2025,1133.85,1144.25,1119.50,1121.90,1132.441172420576374545,50835,2986,57567647.00,30807,60.60,24.75,-11.95
