year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,51220,42051,9169,18,-1630,3048,3183,1308,70,402,1.87,74
2015-03-01,52972,43608,9364,18,103,3493,3434,2539,32,1722,7.43,19
2016-03-01,41546,35124,6422,15,-1966,3601,3323,-2468,-80,-481,-1.39,-67
2017-03-01,55604,43296,12308,22,18,3768,3430,5128,33,3467,14.57,19
2018-03-01,71933,57017,14916,21,-177,3701,3387,7651,20,6113,25.71,16
2019-03-01,84757,65827,18930,22,196,3917,4041,11168,33,7524,31.6,16
2020-03-01,73326,61513,11813,16,-289,4265,4246,3013,-30,3919,16.67,15
2021-03-01,79839,59661,20178,25,473,3957,4679,12015,34,7873,32.73,25
2022-03-01,146371,107257,39114,27,1600,4968,6001,29745,30,20938,85.49,25
2023-03-01,165960,147490,18470,11,1561,6902,7474,5655,27,4139,17.14,25
2024-03-01,175006,146849,28157,16,1500,8105,8172,13380,33,8973,36.03,25
2025-03-01,168824,146099,22725,13,73,8412,9309,5077,31,3491,14.33,24
2026-03-14,179109,152092,27017,15,564,9028,9950,8603,,7766,30.47,
