year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,18,0,16,98,141,-26,-79,13
2015-03-01,0,0,18,0,17,136,175,-23,-58,10
2016-03-01,0,0,15,0,24,135,207,-48,-105,5
2017-03-01,0,0,22,0,27,147,172,2,-66,14
2018-03-01,0,0,21,0,24,118,149,-7,-36,18
2019-03-01,0,0,22,0,31,123,137,17,-63,20
2020-03-01,0,0,16,0,22,130,169,-17,-96,9
2021-03-01,0,0,25,0,21,160,171,9,-93,15
2022-03-01,0,0,27,0,19,208,190,36,-24,28
2023-03-01,0,0,11,0,16,130,149,-4,-50,8
2024-03-01,0,0,16,0,16,151,133,33,-29,13
2025-03-01,0,0,13,0,18,142,132,28,-19,8
