year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2015-03-01,1289,11509,0,3380,16178,6645,550,950,8032,16178
2016-03-01,1289,11906,0,3515,16710,6596,688,1011,8416,16710
2017-03-01,966,9239,51,4245,14501,7144,566,1260,5531,14501
2018-03-01,966,9537,45,4064,14613,7139,915,710,5849,14613
2019-03-01,933,9552,67,4596,15147,7286,883,257,6722,15147
2020-03-01,933,9054,12,4549,14548,7485,1427,331,5306,14548
2021-03-01,918,9761,102,3928,14709,7660,1575,560,4913,14709
2022-03-01,918,11634,77,4646,17276,7343,2235,375,7322,17276
2023-03-01,918,12208,105,4396,17627,7303,3269,359,6696,17627
2024-03-01,918,13470,96,4751,19235,7383,4573,342,6938,19235
2025-03-01,918,16887,182,4895,22882,7748,4936,774,9424,22882
2025-09-01,918,18918,56,5112,25005,7592,5374,561,11477,25005
