Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,315.15,317.25,312.00,314.50,314.144383955418648591,544084,8491,170920933.00,235173,43.22,5.25,-0.65
31-December-2025,318.00,319.95,313.45,314.65,316.170982977814101956,907874,13321,287043415.00,382143,42.09,6.50,-3.35
30-December-2025,298.00,318.60,297.95,316.70,311.745407842659113503,852976,11613,265911351.00,337713,39.59,20.65,18.70
29-December-2025,310.55,312.90,299.50,300.80,305.260264149207057522,1151849,18037,351613730.00,514672,44.68,13.40,-9.75
26-December-2025,297.25,309.35,296.95,306.90,303.718509743828627496,948857,12849,288185434.00,420534,44.32,12.40,9.65
24-December-2025,290.65,298.50,290.65,295.40,296.162013654100078750,844435,9386,250089570.00,550881,65.24,7.85,4.75
23-December-2025,291.25,294.50,289.35,290.15,291.788789512472563564,499336,4558,145700647.00,274929,55.06,5.15,-1.10
22-December-2025,281.50,292.75,280.15,290.25,289.606368889574455073,1095607,12750,317294765.00,586658,53.55,12.60,8.75
19-December-2025,279.85,281.50,276.85,278.60,278.346834693163152650,185685,2686,51684832.00,106007,57.09,4.65,-1.25
18-December-2025,279.00,282.70,275.20,279.00,279.449661145060660799,390285,5727,109065011.00,205632,52.69,7.50,0.00
17-December-2025,278.15,281.55,278.00,279.45,279.548447335047528185,343796,3341,96107638.00,164416,47.82,3.55,1.30
16-December-2025,276.15,277.90,273.75,276.70,275.272002463173929248,308545,4940,84933800.00,186820,60.55,4.15,0.55
15-December-2025,278.15,279.95,275.85,278.70,278.497784096820057564,432555,6365,120465609.00,213810,49.43,4.10,0.55
12-December-2025,266.55,279.75,266.50,278.20,275.626436000239590870,1051793,11810,289901956.00,538358,51.18,13.25,11.65
11-December-2025,265.75,268.10,262.80,264.30,265.093415184767121259,216164,2181,57303653.00,78471,36.30,5.30,-1.45
10-December-2025,265.35,268.10,261.55,262.95,264.684418454703683412,536622,7939,142035482.00,318920,59.43,6.55,-2.40
9-December-2025,267.95,267.95,259.20,265.50,262.987224837249635819,641166,10636,168618467.00,280826,43.80,8.75,-2.45
8-December-2025,273.35,276.25,266.55,268.45,271.434162557836611074,625685,8614,169832284.00,309493,49.46,9.70,-4.90
5-December-2025,269.30,274.35,266.55,273.20,272.098110068478597487,720079,8267,195932135.00,402862,55.95,7.80,3.90
4-December-2025,267.80,270.35,267.55,269.30,269.014684486158762257,259117,3089,69706278.00,99246,38.30,2.80,1.50
3-December-2025,265.20,268.00,262.00,266.45,265.275948433724660952,328199,4596,87063301.00,146065,44.50,6.00,1.25
2-December-2025,265.20,268.15,264.05,265.00,265.734424773339867679,457072,5174,121459765.00,222189,48.61,4.10,-0.20
1-December-2025,262.00,267.50,262.00,263.80,264.760583098349343110,1360731,11937,360267933.00,802455,58.97,5.50,1.80
28-November-2025,262.95,264.50,259.55,260.00,262.014132553606237816,205200,2925,53765300.00,99082,48.29,4.95,-2.95
27-November-2025,259.30,265.55,259.30,261.30,262.188385384772402531,391920,4919,102756872.00,191542,48.87,6.25,2.00
26-November-2025,255.20,259.40,255.20,258.15,257.785828863169877710,231908,3019,59782596.00,99352,42.84,4.20,2.95
25-November-2025,250.50,255.70,250.50,253.95,253.727750857376853384,234436,3008,59482919.00,105466,44.99,5.20,3.45
24-November-2025,250.10,254.10,249.40,250.90,251.565564189339626842,359312,3626,90390526.00,171016,47.60,4.70,0.80
21-November-2025,255.80,256.05,249.90,250.35,252.903391925880664459,351865,6321,88987852.00,225524,64.09,6.15,-5.45
20-November-2025,258.30,262.20,256.50,257.80,259.991400385235087503,520721,4805,135382982.00,206248,39.61,5.70,-0.50
19-November-2025,257.35,260.10,254.75,256.55,256.905709452947037758,368319,4900,94623254.00,171400,46.54,5.35,-0.80
18-November-2025,258.85,258.90,254.85,257.40,256.386215083567535931,905555,10286,232171819.00,625983,69.13,4.05,-1.45
17-November-2025,263.00,264.05,259.15,260.45,261.872941096147609537,292935,3601,76711750.00,108641,37.09,4.90,-2.55
14-November-2025,264.50,267.55,260.05,262.35,263.339001602310938593,354488,4495,93350516.00,167264,47.18,7.50,-2.15
13-November-2025,267.60,272.00,266.95,268.65,269.700128661829448679,571265,5374,154070244.00,273707,47.91,5.05,1.05
12-November-2025,265.80,269.20,264.25,266.65,266.830786496315083637,1137882,11372,303621949.00,508211,44.66,4.95,0.85
11-November-2025,258.30,266.40,256.25,265.80,263.007349310623017245,1648590,18129,433591286.00,658283,39.93,10.15,7.50
10-November-2025,240.10,264.35,240.10,257.45,253.873918902893855196,3516451,26514,892735196.00,1447488,41.16,24.25,17.35
7-November-2025,227.55,238.00,227.55,234.45,234.060146555360453595,509705,6403,119301627.00,218242,42.82,10.45,6.90
6-November-2025,232.85,233.65,228.10,230.65,230.273711027193198853,210788,2702,48538935.00,86357,40.97,5.55,-2.20
4-November-2025,238.65,238.65,231.75,233.25,234.224907723998034233,191274,2659,44801135.00,79598,41.61,6.90,-5.40
3-November-2025,237.00,240.10,236.40,238.60,238.626689514084383906,228764,2891,54589196.00,103882,45.41,3.70,1.60
31-October-2025,236.30,236.95,233.20,234.10,234.649568412008708746,324731,5409,76197989.00,168377,51.85,3.75,-2.20
30-October-2025,238.10,239.15,234.40,238.30,236.297232773085798781,501802,5928,118574424.00,254543,50.73,4.75,0.20
29-October-2025,237.30,241.00,237.30,238.15,239.190550825750737930,327944,3797,78441106.00,114204,34.82,3.70,0.85
28-October-2025,238.00,241.00,235.60,236.75,238.162573097440175349,592189,7609,141037256.00,273795,46.23,5.40,-1.25
27-October-2025,237.05,238.85,236.50,237.90,237.513898038957331400,364296,3880,86525363.00,149544,41.05,2.35,0.85
24-October-2025,233.10,240.20,232.65,236.00,237.316404689665161034,1739911,15161,412909423.00,682206,39.21,7.55,2.90
23-October-2025,228.80,231.10,227.35,228.25,228.920607383422528551,638674,6074,146205640.00,474466,74.29,3.75,-0.55
21-October-2025,227.95,227.95,226.40,227.30,227.386868062517205736,192523,3650,43777202.00,101580,52.76,1.55,-0.65
20-October-2025,225.40,227.45,222.60,226.15,224.657237944705492498,419463,5077,94235399.00,249590,59.50,4.85,0.75
17-October-2025,227.35,230.65,223.75,225.40,228.053790100452092525,258133,3501,58868209.00,83810,32.47,6.90,-1.95
16-October-2025,227.80,227.80,224.00,226.65,226.271430439819139792,321132,5193,72662997.00,178782,55.67,3.80,-1.15
15-October-2025,224.35,227.55,223.80,226.55,226.505474322698700462,295105,2752,66842898.00,137426,46.57,3.75,2.20
14-October-2025,227.00,229.20,222.70,223.65,225.922984041235242592,286551,3616,64738457.00,95321,33.26,6.50,-3.35
13-October-2025,223.75,226.10,222.00,225.35,224.649753630705394190,231360,3496,51974967.00,76600,33.11,4.10,1.60
10-October-2025,230.50,230.50,223.40,224.20,225.078457325904703506,472945,5029,106449731.00,188167,39.79,7.10,-6.30
9-October-2025,225.85,232.25,225.00,229.45,229.181770364714725476,1688251,17068,386916353.00,714159,42.30,7.25,3.60
8-October-2025,217.65,226.20,217.65,223.70,223.685620208796903795,5698073,25080,1274576993.00,3942592,69.19,8.55,6.05
7-October-2025,218.40,220.00,216.00,217.10,217.762145791492820106,404811,5959,88152512.00,196992,48.66,4.00,-1.30
6-October-2025,221.80,223.50,216.65,217.15,219.531637085763931984,362565,3375,79594488.00,147147,40.58,6.85,-4.65
3-October-2025,214.00,224.50,213.95,221.15,220.687323045662124125,1929170,16537,425743363.00,1030693,53.43,10.55,7.15
1-October-2025,214.95,215.80,210.30,214.50,213.409726395566239316,479232,5233,102272770.00,235643,49.17,5.50,-0.45
30-September-2025,204.10,215.40,204.10,213.95,212.354985550108471892,1407277,11512,298842287.00,585446,41.60,11.30,9.85
29-September-2025,200.65,206.00,200.65,204.05,204.300268277456257276,177801,2119,36324792.00,56931,32.02,5.35,3.40
26-September-2025,205.35,206.05,198.80,200.50,201.379465314836877721,464161,5791,93472494.00,246487,53.10,7.25,-4.85
25-September-2025,206.50,210.30,204.80,205.65,206.368523740607736936,389017,2312,80280864.00,246432,63.35,5.50,-0.85
24-September-2025,208.80,210.05,205.55,206.00,207.733183980287722540,344151,3733,71491583.00,160845,46.74,4.50,-2.80
23-September-2025,210.90,211.90,207.40,208.85,208.949397809751697883,351467,2475,73438818.00,215642,61.35,4.50,-2.05
22-September-2025,211.25,214.40,209.60,210.90,212.378541574169052467,326585,3872,69359646.00,199722,61.15,4.80,-0.35
19-September-2025,211.45,212.70,210.20,211.65,211.508044703889856621,310577,4375,65689534.00,130609,42.05,2.50,0.20
18-September-2025,213.25,214.35,211.00,213.95,213.083986121770679386,157657,2312,33594182.00,65070,41.27,3.35,0.70
17-September-2025,216.40,217.90,211.65,213.25,213.728112908798882151,263363,2403,56288077.00,140313,53.28,6.25,-3.15
16-September-2025,216.80,218.40,213.65,216.45,215.865172761352383646,226208,2687,48830429.00,70291,31.07,4.75,-0.35
15-September-2025,219.70,221.20,216.00,216.60,217.913479476542983521,872660,5923,190164377.00,554564,63.55,5.20,-3.10
12-September-2025,214.40,219.15,214.40,218.25,216.462877248139561963,755736,3969,163588789.00,521089,68.95,4.75,3.85
11-September-2025,210.00,218.40,209.90,214.35,215.403566778326712675,966923,5153,208278663.00,603026,62.37,8.50,4.35
10-September-2025,206.55,211.35,206.55,209.05,209.509342475983570385,736475,5702,154298393.00,511074,69.39,4.80,2.50
9-September-2025,211.50,211.65,206.20,206.70,208.069107240516398468,241364,2889,50220392.00,103882,43.04,5.45,-4.80
8-September-2025,212.95,216.80,209.55,210.35,213.569620978940788360,715079,8851,152719151.00,406698,56.87,7.25,-2.60
5-September-2025,206.75,212.95,205.25,212.15,207.358680224601374102,866602,4644,179697447.00,648634,74.85,7.70,5.40
4-September-2025,207.90,209.15,204.45,206.65,206.975125981256163181,257578,3182,53312239.00,118159,45.87,4.70,-1.25
3-September-2025,201.25,208.25,201.25,207.10,205.721351952484812637,649224,5507,133559239.00,198363,30.55,7.00,5.85
2-September-2025,191.80,201.85,191.00,200.35,199.045824848608505128,1499754,10322,298519772.00,844727,56.32,10.85,8.55
1-September-2025,186.25,192.35,186.25,191.75,190.155240538111900522,535279,5085,101786107.00,401756,75.06,6.10,5.50
29-August-2025,185.75,188.50,183.85,186.20,186.614516100353834391,281205,3368,52476935.00,102739,36.54,4.65,0.45
28-August-2025,185.35,187.90,184.20,184.80,185.631057705004621682,90876,1558,16869408.00,33734,37.12,3.70,-0.55
26-August-2025,188.65,190.00,185.00,185.65,187.803376421252864121,231310,3533,43440799.00,130379,56.37,5.00,-3.00
25-August-2025,189.15,193.00,189.15,190.45,191.552946553006983498,264767,3563,50716899.00,129207,48.80,3.85,1.30
22-August-2025,190.80,192.20,188.50,188.95,189.761567831601015318,328173,3177,62274623.00,251503,76.64,3.70,-1.85
21-August-2025,192.70,193.50,190.85,191.50,192.092438257860114768,78593,1312,15097121.00,36322,46.22,2.65,-1.20
20-August-2025,191.35,192.60,189.80,192.15,191.685158445567918696,270787,3399,51905849.00,150110,55.43,2.80,0.80
19-August-2025,188.50,191.50,188.05,191.35,190.434074549694163766,295910,3493,56351347.00,168675,57.00,3.45,2.85
18-August-2025,189.05,189.45,186.90,188.40,188.637460793672439656,102662,1419,19365899.00,46060,44.87,2.55,-0.65
14-August-2025,189.85,189.85,186.25,187.35,187.355972877252072455,1440562,1986,269897895.00,1330964,92.39,3.60,-2.50
13-August-2025,188.20,191.65,187.70,189.85,190.311983059292476332,401400,4488,76391230.00,248463,61.90,3.95,1.65
12-August-2025,187.10,189.20,186.15,186.70,187.684136305420061585,146788,1346,27549779.00,55522,37.82,3.05,-0.40
11-August-2025,187.70,189.80,185.95,187.05,187.732535192737797658,152020,1960,28539100.00,57986,38.14,3.85,-0.65
8-August-2025,189.15,191.65,186.00,187.40,188.987117586231394042,380053,3741,71825121.00,135351,35.61,5.65,-1.75
7-August-2025,188.00,190.80,184.65,189.65,187.694557442888343736,386436,4690,72531934.00,161317,41.74,6.15,1.65
6-August-2025,187.20,189.30,186.80,188.70,188.259465807710005975,145603,1773,27411143.00,74408,51.10,2.50,1.50
5-August-2025,187.15,188.05,185.70,187.15,187.034809685953342362,158002,2870,29551874.00,86531,54.77,2.35,0.00
4-August-2025,180.45,187.40,180.10,187.15,184.922657909140667761,228375,2263,42231712.00,98600,43.17,7.30,6.70
1-August-2025,184.00,184.95,180.25,180.60,181.697926157253469343,341347,5651,62022042.00,173688,50.88,4.70,-3.40
31-July-2025,184.20,187.75,184.20,185.20,185.669775487602851938,218518,2311,40572188.00,102856,47.07,3.55,1.00
30-July-2025,189.70,190.95,186.80,187.10,187.931280603328382569,190543,3704,35808990.00,78162,41.02,4.15,-2.60
29-July-2025,189.90,189.90,185.95,189.70,188.471565327621628710,114385,1456,21558320.00,48752,42.62,3.95,-0.20
28-July-2025,193.60,193.60,186.80,187.60,188.970059589665948485,206076,2882,38942194.00,78583,38.13,6.80,-6.00
25-July-2025,198.15,199.40,193.05,193.60,196.017894478717637644,154964,2501,30375717.00,70760,45.66,6.35,-4.55
24-July-2025,198.00,200.00,196.35,198.80,198.573635013253892048,487404,5556,96785584.00,262576,53.87,3.65,0.80
23-July-2025,197.50,199.10,196.10,198.10,197.556008876827215008,220349,2611,43531269.00,86836,39.41,3.00,0.60
22-July-2025,195.55,198.00,195.40,196.65,196.857347636351814058,676687,7623,133210808.00,423486,62.58,2.60,1.10
21-July-2025,190.50,195.95,190.50,195.00,194.412666571739877648,1917267,13355,372740990.00,1016941,53.04,5.45,4.50
18-July-2025,190.55,190.55,186.85,188.10,188.052250774222091137,108496,1372,20402917.00,48584,44.78,3.70,-2.45
17-July-2025,189.75,191.30,188.30,189.00,190.224468720773147667,153968,2280,29288481.00,71294,46.30,3.00,-0.75
16-July-2025,190.75,190.75,187.70,188.00,188.610076796546774649,95447,1782,18002266.00,48706,51.03,3.05,-2.75
15-July-2025,189.95,191.00,188.50,190.45,189.968083108346050005,85190,1272,16183381.00,39756,46.67,2.50,0.50
14-July-2025,188.55,191.70,187.75,189.45,189.744793096451547449,83783,1677,15897388.00,28931,34.53,3.95,0.90
11-July-2025,188.05,192.90,188.05,189.30,190.787247727057266445,537959,5677,102635717.00,239527,44.53,4.85,1.25
10-July-2025,188.00,189.15,186.05,188.95,187.577822304014984046,91831,1125,17225459.00,37219,40.53,3.10,0.95
9-July-2025,189.00,190.35,185.35,186.20,187.433917972261222913,134613,2051,25231042.00,65253,48.47,5.00,-2.80
8-July-2025,188.75,190.80,188.10,189.80,189.370480569049271339,115280,1625,21830629.00,42307,36.70,2.70,1.05
7-July-2025,191.75,191.75,187.75,188.50,188.907840619004582282,315345,4813,59571143.00,148741,47.17,4.00,-3.25
4-July-2025,191.20,193.80,190.80,192.10,192.107704348226411619,86886,1396,16691470.00,34900,40.17,3.00,0.90
3-July-2025,193.25,195.90,191.75,192.15,193.701528815122176118,271125,2503,52517327.00,99347,36.64,4.15,-1.10
2-July-2025,191.00,195.30,190.55,192.40,193.149570844637884503,419079,2607,80944929.00,105889,25.27,4.75,1.40
1-July-2025,193.50,193.50,188.20,190.25,190.011799932263924381,259832,2622,49371146.00,99198,38.18,5.30,-3.25
30-June-2025,192.20,193.10,188.60,192.65,191.390611412849791158,280596,3005,53703440.00,103714,36.96,4.50,0.45
27-June-2025,195.85,197.60,190.50,190.90,194.700968086401828451,427028,4473,83142765.00,146984,34.42,7.10,-4.95
26-June-2025,189.00,194.60,188.10,193.55,191.845844193858634291,358715,2941,68817982.00,200165,55.80,6.50,4.55
25-June-2025,191.35,191.35,187.40,187.85,189.636462664076541820,110162,1512,20890732.00,48773,44.27,3.95,-3.50
24-June-2025,190.70,192.30,188.80,189.75,190.567061954885543365,538763,5688,102670482.00,309540,57.45,3.50,-0.95
23-June-2025,180.90,189.00,180.90,188.30,186.260875925796534376,457984,5342,85304501.00,276756,60.43,8.10,7.40
20-June-2025,181.50,184.70,181.20,184.20,183.089020120708001982,123107,1367,22539540.00,38493,31.27,3.50,2.70
19-June-2025,186.20,186.45,181.25,181.90,183.325993177504347018,150678,2079,27623194.00,62945,41.77,5.20,-4.30
18-June-2025,185.30,187.10,184.55,186.15,186.087641809215651461,275987,3899,51357770.00,131648,47.70,2.55,0.85
17-June-2025,188.25,188.40,184.85,185.25,186.521145314847649768,140433,1496,26193724.00,61420,43.74,3.55,-3.00
16-June-2025,185.15,188.50,182.90,188.00,185.869688332445391582,375400,4826,69775481.00,188053,50.09,5.60,2.85
13-June-2025,183.20,189.25,182.55,185.80,185.958384732032717072,254546,2552,47334963.00,80476,31.62,6.70,2.60
12-June-2025,190.20,191.00,186.40,186.90,188.646562573827881703,232805,2385,43917863.00,90479,38.86,4.60,-3.30
11-June-2025,191.35,192.10,189.00,190.00,190.273127684376051258,383469,3423,72963846.00,133778,34.89,3.10,-1.35
10-June-2025,187.55,194.25,187.55,191.70,192.150703291474208419,1340767,9870,257629322.00,626731,46.74,6.70,4.15
9-June-2025,190.30,190.95,187.00,187.30,188.659477003045480010,474802,3350,89575897.00,204217,43.01,3.95,-3.00
6-June-2025,183.00,190.90,182.95,188.45,189.495967155884146966,6921666,13591,1311627793.00,6073016,87.74,7.95,5.45
5-June-2025,183.10,183.60,181.05,182.45,182.383230259653023880,215865,1813,39370156.00,82473,38.21,2.55,-0.65
4-June-2025,182.10,183.65,179.80,182.65,182.302636029740718028,458227,4100,83535990.00,207003,45.17,3.85,0.55
3-June-2025,181.00,184.45,181.00,182.10,182.904020335599775435,641240,5693,117285374.00,291880,45.52,3.45,1.10
2-June-2025,178.20,182.00,176.40,180.80,179.765495683721231556,679173,6555,122091871.00,350480,51.60,5.60,2.60
30-May-2025,184.00,184.30,179.90,180.40,181.666897077255560043,240151,2852,43627487.00,117227,48.81,4.40,-3.60
29-May-2025,184.95,185.15,183.00,183.55,184.016355225828207816,272818,2314,50202974.00,86763,31.80,2.15,-1.40
28-May-2025,182.15,184.00,181.15,183.20,182.810314857767469140,375090,4243,68570321.00,201371,53.69,2.85,1.05
27-May-2025,183.45,184.30,181.60,182.00,182.654310485257651722,276245,2816,50457340.00,101829,36.86,2.70,-1.45
26-May-2025,185.00,185.60,182.25,183.45,183.774628226761928697,696325,7018,127966868.00,339991,48.83,3.35,-1.55
23-May-2025,186.95,186.95,180.15,183.85,182.820801281976411447,1284267,10768,234790722.00,404871,31.53,6.80,-3.10
22-May-2025,190.00,191.65,183.70,184.95,186.510539342097660254,1869092,11849,348605357.00,586442,31.38,7.95,-5.05
21-May-2025,180.00,182.40,178.95,181.65,180.918025656464935030,675931,6112,122288102.00,252185,37.31,3.45,1.65
20-May-2025,184.00,184.25,178.35,179.25,181.516006394759416673,871964,6888,158275423.00,351080,40.26,5.90,-4.75
19-May-2025,177.00,183.45,176.95,182.10,181.788557607729197192,840139,7640,152727657.00,355827,42.35,6.50,5.10
16-May-2025,178.00,180.00,176.10,178.30,177.808762752756109963,369724,2683,65740167.00,163940,44.34,3.90,0.30
15-May-2025,173.95,180.70,172.20,178.55,178.225806350191159702,954176,6278,170058787.00,398244,41.74,8.50,4.60
14-May-2025,166.30,173.50,166.25,173.10,171.620676582259333212,1057728,13352,181527995.00,526967,49.82,7.25,6.80
13-May-2025,169.50,170.40,164.55,165.20,167.697563846941440302,723723,9806,121366584.00,276473,38.20,5.85,-4.30
12-May-2025,162.15,169.60,161.40,168.95,165.661183665569963228,1291750,14229,213992834.00,720664,55.79,8.20,6.80
9-May-2025,150.05,157.30,149.00,157.00,154.814743460171475735,474936,3085,73527095.00,199418,41.99,8.30,6.95
8-May-2025,157.55,159.60,152.80,153.95,157.434829772719647803,268259,2768,42233310.00,121978,45.47,6.80,-3.60
7-May-2025,151.60,158.80,151.60,158.25,157.126625837855090967,701792,6093,110270209.00,326487,46.52,7.20,6.65
6-May-2025,159.75,160.55,154.00,154.90,157.130639159341979740,274642,3366,43154673.00,88172,32.10,6.55,-4.85
5-May-2025,162.20,162.20,158.20,160.80,160.518051877685269270,131039,2007,21034125.00,42324,32.30,4.00,-1.40
2-May-2025,157.25,162.45,156.60,159.60,159.844231921256449294,422333,4054,67507494.00,132744,31.43,5.85,2.35
30-April-2025,158.30,159.20,155.55,156.20,157.361180170031017727,467797,6603,73613088.00,149505,31.96,3.65,-2.10
29-April-2025,160.00,161.70,157.10,157.60,158.966619555441346524,155660,2015,24744744.00,68216,43.82,4.60,-2.40
28-April-2025,157.20,160.55,156.15,159.85,158.457069440592861820,338966,3348,53711559.00,108829,32.11,4.40,2.65
25-April-2025,163.65,163.65,155.70,156.35,158.384858557639990672,1093555,10810,173202554.00,431902,39.50,7.95,-7.30
24-April-2025,162.00,163.80,160.90,162.05,162.537500831872934182,586027,5455,95251364.00,229865,39.22,2.90,0.05
23-April-2025,161.20,162.65,157.40,162.10,160.831938014370686638,394414,3765,63434368.00,94381,23.93,5.25,0.90
22-April-2025,162.20,164.30,158.25,158.70,161.600456119444501516,632729,5696,102249295.00,177219,28.01,6.05,-3.50
21-April-2025,155.45,162.05,153.75,161.30,158.354985199289805234,1337098,13197,211736134.00,603272,45.12,8.30,5.85
17-April-2025,151.00,154.35,150.50,152.95,152.899499686528159703,644396,7813,98527826.00,288512,44.77,3.85,1.95
16-April-2025,152.05,154.10,150.00,151.25,151.863507567582166598,851593,9621,129325900.00,315853,37.09,4.10,-0.80
15-April-2025,145.20,152.20,144.80,151.45,149.273642402364111002,1160690,10850,173260424.00,451486,38.90,7.40,6.25
11-April-2025,149.00,149.50,142.80,143.30,145.789244671457428400,925253,13400,134891936.00,434314,46.94,6.70,-5.70
9-April-2025,144.85,145.60,140.50,143.50,142.829778209904408518,806348,4881,115170506.00,176638,21.91,5.10,-1.35
8-April-2025,151.05,151.05,143.20,146.60,146.679105218130569925,1491492,12166,218770712.00,523200,35.08,7.85,-4.45
7-April-2025,142.05,148.35,140.00,144.80,143.921329746812539956,1823866,25449,262493220.00,650269,35.65,8.35,2.75
4-April-2025,171.00,171.80,156.55,157.70,161.643024289035642035,927332,8684,149896749.00,404640,43.63,15.25,-13.30
3-April-2025,173.60,175.50,170.75,172.65,172.439860259217698562,275367,2841,47484247.00,114958,41.75,4.75,-0.95
2-April-2025,175.00,175.95,171.05,174.15,173.577177289651677719,181556,2602,31513978.00,70591,38.88,4.90,-0.85
1-April-2025,175.10,178.65,174.00,175.25,176.142993402750178841,352268,5703,62049540.00,118999,33.78,4.65,0.15
28-March-2025,178.40,180.85,175.00,175.55,177.735911296301509989,639342,8358,113634033.00,270753,42.35,5.85,-2.85
27-March-2025,178.50,179.95,177.00,178.90,178.706363001792973187,146126,1723,26113646.00,57720,39.50,2.95,0.40
26-March-2025,181.30,183.00,178.80,179.15,180.876615057219170050,138153,1831,24988647.00,46192,33.44,4.20,-2.15
25-March-2025,187.85,188.15,180.10,180.60,182.665579538839088999,310911,3619,56792738.00,142538,45.85,8.05,-7.25
24-March-2025,187.95,189.05,185.90,186.95,187.494832130072367347,232978,2719,43682171.00,116057,49.81,3.15,-1.00
21-March-2025,190.40,190.40,182.25,185.40,185.217759892391237889,899555,12628,166613562.00,407447,45.29,8.15,-5.00
20-March-2025,189.10,192.40,186.05,190.65,189.244522033708718006,250321,2356,47371878.00,104713,41.83,6.35,1.55
19-March-2025,189.60,190.75,184.75,186.35,186.487686961776703429,231665,3979,43202670.00,104204,44.98,6.00,-3.25
18-March-2025,187.30,190.00,186.20,188.50,188.255326264854479470,140530,1774,26455521.00,48042,34.19,3.80,1.20
17-March-2025,188.20,190.05,184.60,184.95,186.670200250006127601,163196,1971,30463830.00,53088,32.53,5.45,-3.25
13-March-2025,192.00,192.35,187.05,187.85,189.131023086875867121,192447,3249,36397698.00,89807,46.67,5.30,-4.15
12-March-2025,191.15,193.05,186.50,191.55,190.426373016391301508,306260,4053,58319981.00,96469,31.50,6.55,0.40
11-March-2025,185.60,190.40,185.00,189.75,187.998103945352068777,269507,6182,50666805.00,107421,39.86,5.40,4.15
10-March-2025,195.90,196.65,187.10,188.00,191.774741219145359639,452120,6537,86705196.00,137446,30.40,9.55,-7.90
7-March-2025,193.25,197.00,191.70,195.20,194.533066548505912653,361090,4668,70243945.00,163497,45.28,5.30,1.95
6-March-2025,192.35,194.30,190.50,192.85,192.861641501548485270,466585,5931,89986349.00,199707,42.80,3.80,0.50
5-March-2025,179.30,190.25,179.30,189.40,185.696608564682569804,250307,2800,46481161.00,65420,26.14,10.95,10.10
4-March-2025,175.65,182.55,173.60,179.05,179.456273744842518076,195832,2680,35143281.00,36876,18.83,8.95,3.40
3-March-2025,178.00,182.30,174.35,179.30,178.457458636664460622,453300,6191,80894766.00,153162,33.79,7.95,1.30
