year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2015-03-01,0,0,25,0,6,411,155,262,8,
2016-03-01,0,0,14,0,13,352,213,151,10,9
2017-03-01,0,0,14,0,9,389,284,114,-24,9
2018-03-01,0,0,15,0,10,288,232,66,-11,11
2019-03-01,0,0,25,0,8,231,245,-7,-28,26
2020-03-01,0,0,6,0,6,463,211,258,-9,2
2021-03-01,0,0,20,0,6,411,262,156,11,13
2022-03-01,0,0,32,0,2,324,287,39,-10,34
2023-03-01,0,0,16,0,2,213,146,69,4,14
2024-03-01,0,0,21,0,4,252,206,50,6,17
2025-03-01,0,0,45,0,4,353,137,221,-7,44
