year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,396,29550,0,1497,31444,1366,5297,219,24561,31444
2015-03-01,396,31870,0,2197,34464,1468,7801,319,24876,34464
2016-03-01,396,28784,1497,2079,32756,2058,9747,592,20359,32756
2017-03-01,316,22266,0,3201,25784,2095,11855,612,11221,25784
2018-03-01,316,24101,500,3774,28691,3457,12545,673,12016,28691
2019-03-01,306,25738,364,3483,29891,3512,13819,859,11701,29891
2020-03-01,306,27367,566,3056,31294,3810,15530,910,11045,31294
2021-03-01,293,29591,2000,5045,36930,3933,17158,875,14964,36930
2022-03-01,293,17725,1800,5094,24912,3662,1333,895,19022,24912
2023-03-01,293,22328,2128,5204,29953,3199,1998,940,23816,29953
2024-03-01,293,25363,3359,6646,35661,3377,3235,956,28094,35661
2025-03-01,879,28817,4276,7035,41007,5038,4737,978,30253,41007
2025-09-01,879,31578,3640,6380,42477,5074,5309,1203,30890,42477
