Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,83.11,84.00,82.20,83.59,83.105931093440889088,1824790,6562,151650872.00,1017068,55.74,1.80,0.48
31-December-2025,84.21,84.56,82.87,83.17,83.493427230995931056,2473615,10262,206530594.00,1037932,41.96,1.69,-1.04
30-December-2025,80.84,83.75,80.80,83.41,82.669518085241671899,3050996,13453,252224369.00,1673868,54.86,2.95,2.57
29-December-2025,83.07,84.08,80.35,80.84,82.146097296680940368,2771297,13302,227651233.00,1279303,46.16,3.73,-2.23
26-December-2025,81.50,83.25,81.41,82.63,82.634494400244138011,1251751,6212,103437811.00,583925,46.65,1.84,1.13
24-December-2025,82.30,82.35,81.06,81.40,81.700070676868864332,2393994,8881,195589479.00,1189835,49.70,1.29,-0.90
23-December-2025,79.10,82.30,78.82,81.53,80.291899309330422185,7966617,18417,639654810.00,5698871,71.53,3.48,2.43
22-December-2025,76.52,78.68,76.47,78.48,78.055543499351518060,783368,3331,61146215.00,535330,68.34,2.21,1.96
19-December-2025,77.26,77.26,75.75,76.26,76.151008085462668141,327254,2176,24920722.00,152812,46.70,1.51,-1.00
18-December-2025,77.10,77.45,76.25,76.50,76.887464325866989535,508772,3779,39118189.00,247621,48.67,1.20,-0.60
17-December-2025,77.12,77.83,76.82,77.27,77.383148153567515014,307539,1617,23798336.00,108323,35.22,1.01,0.15
16-December-2025,78.49,78.58,76.65,77.14,77.252098364027593190,505632,2431,39061133.00,210421,41.62,1.93,-1.35
15-December-2025,77.95,78.89,77.53,78.46,78.303128888916822747,3818544,4974,299003943.00,3331359,87.24,1.36,0.51
12-December-2025,76.00,78.00,75.51,77.91,77.453879695174840287,5113095,9586,396029045.00,4167178,81.50,2.49,1.91
11-December-2025,74.31,75.54,74.31,75.35,75.167496576184289075,284770,1771,21405448.00,111471,39.14,1.23,1.04
10-December-2025,74.78,75.45,74.17,74.36,74.720159305596543144,369353,1729,27598115.00,125401,33.95,1.28,-0.42
9-December-2025,74.41,75.20,73.20,74.78,74.258264064806084333,690429,5381,51270059.00,306638,44.41,2.00,0.37
8-December-2025,76.43,76.43,74.17,74.66,75.166781216626309834,378292,2310,28434992.00,156708,41.43,2.26,-1.77
5-December-2025,75.86,76.57,74.80,76.44,76.148390603311179136,3481056,4653,265076812.00,3009722,86.46,1.77,0.58
4-December-2025,76.11,77.10,75.81,75.97,76.483103904184165500,925776,4257,70806222.00,432130,46.68,1.29,-0.14
3-December-2025,76.26,76.88,75.57,76.07,76.266142342358863388,872488,5104,66541294.00,517208,59.28,1.31,-0.19
2-December-2025,75.61,77.05,75.41,76.09,76.554315278685618692,4513150,7858,345501108.00,3820684,84.66,1.64,0.48
1-December-2025,74.11,75.70,73.90,75.40,75.117720649663631357,1910404,5898,143505194.00,1375376,71.99,1.80,1.29
28-November-2025,74.27,75.01,73.51,73.94,73.943462306042163766,1618973,2035,119712469.00,1288847,79.61,1.50,-0.33
27-November-2025,74.75,75.06,73.70,74.16,74.200322065969131773,606708,5318,45017929.00,319653,52.69,1.36,-0.59
26-November-2025,73.01,74.45,72.93,74.31,73.921698565508072509,339981,2433,25131973.00,144616,42.54,1.52,1.30
25-November-2025,72.50,73.24,72.26,72.67,72.731670599450193506,595846,3871,43336875.00,310613,52.13,0.98,0.17
24-November-2025,73.36,73.79,72.26,72.60,72.699571088348863557,2594940,5777,188651025.00,2149010,82.82,1.53,-0.76
21-November-2025,74.15,74.18,73.22,73.52,73.844565069910478027,3522934,3223,260149529.00,3104322,88.12,0.96,-0.63
20-November-2025,75.24,75.34,73.94,74.45,74.470827257516767649,5610357,3648,417807927.00,5188186,92.48,1.40,-0.79
19-November-2025,75.79,75.97,75.00,75.20,75.394507507211090272,455895,3065,34371979.00,252778,55.45,0.97,-0.59
18-November-2025,76.51,76.51,74.89,75.72,75.509575123931100337,514197,3137,38826797.00,215523,41.91,1.62,-0.79
17-November-2025,76.58,77.34,76.31,76.53,76.787226566358412016,617563,4181,47420950.00,383573,62.11,1.03,-0.05
14-November-2025,77.01,77.30,75.82,76.59,76.610923459219804246,2170686,4253,166298259.00,1775214,81.78,1.48,-0.42
13-November-2025,77.59,78.64,77.10,77.40,77.926362572004263581,5681608,6273,442747045.00,5023686,88.42,1.54,-0.19
12-November-2025,76.25,77.42,76.00,77.17,76.844268053624758254,3420435,11619,262840824.00,2420932,70.78,1.42,0.92
11-November-2025,75.10,75.98,74.30,75.86,75.193065886167241619,380611,1897,28619308.00,161367,42.40,1.68,0.76
10-November-2025,74.13,76.50,74.13,74.99,75.481551239400965534,3571080,10440,269550658.00,2238095,62.67,2.37,0.86
7-November-2025,72.98,74.38,72.42,74.28,73.393109101748807631,483072,3224,35454156.00,193033,39.96,1.96,1.30
6-November-2025,74.12,74.33,72.61,73.11,73.380094741918098353,1057610,7849,77607522.00,562069,53.15,1.72,-1.01
