year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,12058,4335,7723,64,2182,2,151,9753,34,6371,5.36,53
2015-03-01,12356,4591,7765,63,2155,0,173,9747,34,6351,5.34,53
2016-03-01,6456,3771,2685,42,1682,66,218,4084,34,2544,2.14,171
2017-03-01,8828,5233,3595,41,910,21,197,4287,40,2543,2.68,64
2018-03-01,11615,5812,5803,50,667,37,257,6176,38,3808,4.01,36
2019-03-01,12153,5228,6925,57,588,40,279,7194,36,4617,5.03,37
2020-03-01,11699,5697,6003,51,416,10,295,6114,41,3573,3.89,45
2021-03-01,15370,6580,8790,57,351,17,229,8896,30,6277,7.14,36
2022-03-01,25965,13338,12626,49,716,39,288,13016,27,9429,10.72,46
2023-03-01,17667,11613,6054,34,2004,75,336,7646,28,5601,6.37,35
2024-03-01,21308,14014,7294,34,1087,78,351,7952,30,5567,6.34,38
2025-03-01,23906,15755,8150,34,1591,178,420,9143,28,6520,7.43,44
2026-03-03,27732,19065,8667,31,1548,135,466,9614,,6900,7.85,
