year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,64,0,44,,,44,116,34
2015-03-01,0,0,63,0,52,,,52,101,32
2016-03-01,0,0,42,0,45,,,45,7,14
2017-03-01,0,0,41,0,43,,,43,3,16
2018-03-01,0,0,50,0,46,,,46,-4,25
2019-03-01,0,0,57,0,43,,,43,9,28
2020-03-01,0,0,51,0,69,,,69,53,23
2021-03-01,0,0,57,0,51,,,51,-16,30
2022-03-01,0,0,49,0,42,,,42,30,50
2023-03-01,0,0,34,0,90,,,90,94,29
2024-03-01,0,0,34,0,60,,,60,9,31
2025-03-01,0,0,34,0,118,,,118,55,30
