year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,29,3721,3769,1970,9490,2722,310,20,6439,9490
2015-03-01,29,5127,4451,3303,12910,3706,420,20,8765,12910
2016-03-01,59,7229,5041,3568,15896,4180,848,123,10745,15896
2017-03-01,59,9313,3364,3464,16200,4834,1458,246,9662,16200
2018-03-01,59,11622,4770,4492,20942,6521,1583,312,12527,20942
2019-03-01,59,13832,6967,5414,26271,8475,1668,360,15768,26271
2020-03-01,59,16766,5826,6113,28765,9396,1986,555,16827,28765
2021-03-01,59,21871,5339,6147,33416,9374,3062,591,20390,33416
2022-03-01,59,24517,2851,6211,33638,10532,3747,997,18362,33638
2023-03-01,59,26781,5286,7379,39505,11024,5390,543,22549,39505
2024-03-01,59,29784,6648,8227,44717,14493,3869,372,25983,44717
2025-03-01,58,32595,8263,8566,49482,14794,4900,252,29536,49482
2025-09-01,58,34983,7794,9710,52546,17741,3039,268,31498,52546
