Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2026,1032.05,1065.00,1032.00,1059.40,1045.733715476810838978,5757,557,6020289.00,3405,59.15,33.00,27.35
31-December-2025,1040.05,1050.65,1032.00,1034.85,1038.960484957341715312,6681,595,6941295.00,4285,64.14,18.65,-5.20
30-December-2025,1056.05,1074.65,1036.90,1040.80,1049.977613610924557868,4467,873,4690250.00,1790,40.07,37.75,-15.25
29-December-2025,1111.00,1111.00,1056.10,1067.95,1080.398989898989898989,13860,1262,14974330.00,5691,41.06,54.90,-43.05
26-December-2025,1194.05,1194.05,1096.30,1100.75,1116.231869254341164453,3916,576,4371164.00,2306,58.89,97.75,-93.30
24-December-2025,1171.00,1172.10,1123.00,1129.10,1155.837472492926752593,6362,640,7353438.00,2323,36.51,49.10,-41.90
23-December-2025,1179.50,1184.25,1153.50,1165.70,1169.538351510817092794,5593,616,6541228.00,2022,36.15,30.75,-13.80
22-December-2025,1140.00,1174.95,1117.80,1167.80,1156.516039310216947895,5393,648,6237091.00,2624,48.66,57.15,27.80
19-December-2025,1080.00,1150.00,1074.85,1129.55,1108.697834446468326249,4941,416,5478076.00,2754,55.74,75.15,49.55
18-December-2025,1100.00,1100.00,1061.00,1074.60,1076.148618371919342793,5356,517,5763852.00,1814,33.87,39.00,-25.40
17-December-2025,1105.60,1152.90,1098.00,1103.00,1123.799073781707188716,9501,848,10677215.00,4096,43.11,54.90,-2.60
16-December-2025,1137.00,1137.00,1109.10,1116.30,1117.768950141872719902,2467,246,2757536.00,1301,52.74,27.90,-20.70
15-December-2025,1150.85,1150.85,1127.05,1129.55,1136.162909836065573770,3904,340,4435580.00,1374,35.19,23.80,-21.30
12-December-2025,1142.80,1163.80,1135.40,1150.85,1150.423635307781649245,10332,1001,11886177.00,3424,33.14,28.40,8.05
11-December-2025,1074.25,1180.25,1064.10,1153.75,1147.260942928039702233,40300,2877,46234616.00,18049,44.79,116.15,79.50
10-December-2025,1075.00,1076.85,1063.45,1064.90,1066.626882196634189548,4516,430,4816887.00,2968,65.72,13.40,-10.10
9-December-2025,1030.00,1083.00,1006.10,1078.10,1042.602533295320327454,24553,1052,25599020.00,18325,74.63,76.90,48.10
8-December-2025,1111.85,1111.85,1020.00,1032.75,1046.516905549430356486,5442,568,5695145.00,3760,69.09,91.85,-79.10
5-December-2025,1064.05,1088.90,1064.05,1074.15,1076.906161137440758293,4220,446,4544544.00,2837,67.23,24.85,10.10
4-December-2025,1078.05,1100.00,1075.55,1080.45,1088.674604496253122398,6005,625,6537491.00,2927,48.74,24.45,2.40
3-December-2025,1091.85,1097.20,1064.05,1081.00,1078.855301863006023252,7139,304,7701948.00,5680,79.56,33.15,-10.85
2-December-2025,1084.45,1090.85,1079.45,1087.40,1082.595367175948743223,2029,283,2196586.00,1118,55.10,11.40,2.95
1-December-2025,1117.95,1117.95,1084.25,1089.75,1097.910985517484987636,2831,258,3108186.00,1479,52.24,33.70,-28.20
28-November-2025,1106.95,1106.95,1087.80,1096.35,1092.941608662026295436,2586,323,2826347.00,1542,59.63,19.15,-10.60
27-November-2025,1107.35,1124.70,1093.00,1107.35,1109.241796200345423143,5211,488,5780259.00,2199,42.20,31.70,0.00
26-November-2025,1070.00,1106.50,1063.75,1102.40,1092.510719888443437336,5737,569,6267734.00,2700,47.06,42.75,32.40
25-November-2025,1093.95,1093.95,1057.45,1068.40,1072.709950914770191878,8964,915,9615772.00,5512,61.49,36.50,-25.55
24-November-2025,1065.35,1095.20,1051.00,1086.60,1071.162440973483472575,13765,1077,14744551.00,7557,54.90,44.20,21.25
21-November-2025,1114.75,1114.75,1067.00,1073.00,1083.591294264561591294,11211,1173,12148142.00,6400,57.09,47.75,-41.75
20-November-2025,1156.95,1156.95,1101.80,1105.40,1118.346996466431095406,5660,747,6329844.00,2822,49.86,55.15,-51.55
19-November-2025,1093.45,1175.10,1084.90,1135.80,1143.925418314855052277,53847,3541,61596952.00,17403,32.32,90.20,42.35
18-November-2025,1098.90,1130.00,1073.35,1082.15,1100.896991333793748746,179548,1493,197663853.00,162773,90.66,56.65,-16.75
17-November-2025,1095.00,1109.25,1080.10,1090.75,1090.883245338501637372,14963,1344,16322886.00,7824,52.29,29.15,-4.25
14-November-2025,1098.95,1113.75,1087.50,1097.20,1096.339593114241001564,28116,1267,30824684.00,17997,64.01,26.25,-1.75
13-November-2025,1120.00,1133.95,1094.25,1099.00,1119.614975916461374416,54394,545,60900337.00,52075,95.74,39.70,-21.00
12-November-2025,1113.00,1141.20,1112.90,1119.65,1125.367008866075594960,4286,407,4823323.00,1660,38.73,28.30,6.65
11-November-2025,1125.05,1154.80,1111.90,1119.45,1137.767317750026683744,9369,837,10659742.00,4348,46.41,42.90,-5.60
10-November-2025,1159.95,1159.95,1124.30,1136.25,1135.559717314487632508,7075,907,8034085.00,3458,48.88,35.65,-23.70
7-November-2025,1156.00,1156.00,1119.65,1128.30,1131.842547603414313854,7615,815,8618981.00,3166,41.58,36.35,-27.70
6-November-2025,1181.05,1198.70,1158.00,1161.45,1173.065338793745346239,10744,986,12603414.00,4267,39.72,40.70,-19.60
4-November-2025,1235.00,1247.15,1184.75,1187.95,1202.983819010803845772,40356,3349,48547615.00,15325,37.97,62.40,-47.05
