year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,8089,5951,2137,26,18,310,313,1533,24,1169,20.12,7
2015-03-01,12103,9524,2579,21,81,160,333,2168,28,1571,26.98,8
2016-03-01,13772,10579,3193,23,200,257,392,2744,26,2024,34.61,7
2017-03-01,14910,11469,3441,23,115,67,428,3061,25,2301,39.29,6
2018-03-01,16463,12691,3772,23,105,78,558,3241,25,2423,41.36,6
2019-03-01,19564,15612,3952,20,70,263,668,3091,24,2364,40.36,6
2020-03-01,23099,18249,4849,21,166,305,967,3743,24,2844,48.56,6
2021-03-01,24775,19497,5278,21,3195,74,1055,7344,27,5334,91.05,4
2022-03-01,23455,19060,4396,19,152,49,1127,3373,22,2647,45.2,20
2023-03-01,24855,21148,3707,15,291,140,1245,2612,26,1928,32.9,23
2024-03-01,29002,23176,5826,20,366,290,1522,4380,28,3169,54.15,8
2025-03-01,31724,25173,6551,21,622,457,1649,5066,31,3484,60.02,0
2026-03-03,33182,26368,6814,21,487,401,1744,5156,,3485,60.04,
