year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,26,0,119,240,137,222,56,27
2015-03-01,0,0,21,0,107,239,136,210,50,27
2016-03-01,0,0,23,0,122,240,146,217,44,27
2017-03-01,0,0,23,0,68,246,122,191,51,25
2018-03-01,0,0,23,0,68,317,128,257,50,23
2019-03-01,0,0,20,0,64,304,107,260,25,18
2020-03-01,0,0,21,0,68,289,97,260,35,19
2021-03-01,0,0,21,0,52,333,103,282,52,18
2022-03-01,0,0,19,0,62,272,97,237,84,13
2023-03-01,0,0,15,0,66,275,125,216,55,9
2024-03-01,0,0,20,0,61,284,129,216,66,14
2025-03-01,0,0,21,0,66,295,117,244,49,14
