year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,161,9890,1248,2102,13400,6496,442,709,5753,13400
2015-03-01,161,10641,1703,3166,15670,6830,581,640,7620,15670
2016-03-01,161,11356,5202,4331,21049,9368,2061,759,8862,21049
2017-03-01,161,12383,4113,4213,20869,9492,1683,973,8721,20869
2018-03-01,161,14068,4098,4346,22673,9950,981,1259,10483,22673
2019-03-01,161,14851,4316,4433,23762,9608,676,2554,10923,23762
2020-03-01,161,15602,2816,4843,23423,9683,825,1471,11444,23423
2021-03-01,161,18165,2014,4514,24855,9516,969,2710,11661,24855
2022-03-01,161,20680,1056,4960,26857,9683,766,2551,13857,26857
2023-03-01,161,23246,803,5089,29300,9160,1093,3662,15384,29300
2024-03-01,161,26545,559,5267,32533,9607,1153,5449,16323,32533
2025-03-01,162,31032,438,5702,37334,10006,1566,7933,17828,37334
2025-09-01,162,32757,467,6778,40164,10933,1437,8219,19575,40164
