year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,10173,8026,2147,21,251,146,373,1880,25,1404,17.29,12
2015-03-01,11345,9183,2163,19,164,168,505,1654,24,1229,14.71,14
2016-03-01,13790,11310,2480,18,208,207,754,1727,19,1383,16.93,12
2017-03-01,14394,11898,2496,17,208,159,1323,1222,15,1035,12.51,16
2018-03-01,15156,12329,2826,19,280,114,1323,1669,15,1417,17.52,17
2019-03-01,16362,13265,3097,19,477,168,1326,2079,27,1492,18.96,16
2020-03-01,17132,13926,3206,19,344,197,1175,2178,29,1500,19.18,21
2021-03-01,19160,14907,4252,22,266,161,1068,3290,27,2389,29.82,17
2022-03-01,21763,17211,4553,21,99,106,1052,3493,27,2547,31.19,16
2023-03-01,22753,17726,5027,22,293,110,1172,4038,30,2833,34.71,24
2024-03-01,25774,19483,6291,24,552,90,1051,5702,27,4154,51.05,25
2025-03-01,27548,20420,7128,26,862,62,1107,6821,22,5269,65.28,25
2026-03-14,28351,21886,6466,23,747,55,1137,6021,,4533,56.29,
