year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,21,0,59,273,92,239,93,19
2015-03-01,0,0,19,0,64,329,126,267,89,15
2016-03-01,0,0,18,0,62,273,106,230,-10,13
2017-03-01,0,0,17,0,65,239,108,196,99,7
2018-03-01,0,0,19,0,75,271,142,204,118,9
2019-03-01,0,0,19,0,93,250,123,220,132,11
2020-03-01,0,0,19,0,83,267,139,211,113,12
2021-03-01,0,0,22,0,66,232,103,195,94,17
2022-03-01,0,0,21,0,57,230,108,180,95,17
2023-03-01,0,0,22,0,65,228,112,181,113,18
2024-03-01,0,0,24,0,68,217,102,182,120,23
2025-03-01,0,0,26,0,73,231,116,188,128,23
