year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,27,2937,18,729,3710,1222,144,502,1842,3710
2015-03-01,27,3469,27,883,4405,1309,218,733,2145,4405
2016-03-01,53,4240,42,562,4898,1439,264,803,2392,4898
2017-03-01,53,5304,36,762,6155,1559,444,1631,2521,6155
2018-03-01,53,5872,63,797,6785,1996,120,1889,2780,6785
2019-03-01,53,6904,106,973,8036,2088,492,1946,3511,8036
2020-03-01,53,7257,39,1183,8531,2782,920,971,3858,8531
2021-03-01,53,9242,5,1471,10771,3704,711,0,6356,10771
2022-03-01,53,11675,4,1628,13360,4325,470,72,8493,13360
2023-03-01,53,12714,3,1654,14425,4723,212,77,9413,14425
2024-03-01,53,13518,3,1886,15460,4739,778,82,9861,15460
2025-03-01,53,14916,4,1948,16921,5442,1022,65,10392,16921
2025-09-01,53,15360,90,2648,18151,5678,2030,67,10376,18151
