year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,2532,1514,1018,40,68,3,92,991,22,773,29.13,34
2015-03-01,3115,1942,1173,38,38,3,136,1072,21,852,32.07,31
2016-03-01,3776,2354,1423,38,93,5,118,1393,19,1126,42.41,24
2017-03-01,4064,2615,1450,36,72,3,123,1395,24,1060,39.95,25
2018-03-01,3891,2622,1269,33,107,2,142,1231,29,877,33.04,30
2019-03-01,4946,3072,1874,38,154,5,169,1855,27,1353,50.96,31
2020-03-01,5394,3568,1826,34,186,7,186,1819,24,1377,51.85,31
2021-03-01,6969,4102,2867,41,57,2,256,2666,26,1984,74.75,27
2022-03-01,8960,5075,3885,43,112,2,312,3684,20,2960,111.52,27
2023-03-01,7768,5397,2370,31,344,2,343,2369,23,1823,68.69,44
2024-03-01,7845,5635,2210,28,335,4,378,2163,26,1600,60.27,50
2025-03-01,9360,6387,2973,32,348,3,402,2916,25,2191,82.53,36
2026-03-14,10314,6921,3393,33,364,18,450,3289,,2479,93.38,
