year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,40,0,104,372,61,416,157,36
2015-03-01,0,0,38,0,87,350,68,368,140,33
2016-03-01,0,0,38,0,85,293,56,322,158,36
2017-03-01,0,0,36,0,81,307,104,284,147,29
2018-03-01,0,0,33,0,95,314,96,313,176,22
2019-03-01,0,0,38,0,86,347,96,336,169,29
2020-03-01,0,0,34,0,96,316,100,312,180,25
2021-03-01,0,0,41,0,88,329,117,300,152,32
2022-03-01,0,0,43,0,99,341,96,344,177,35
2023-03-01,0,0,31,0,84,352,89,347,188,19
2024-03-01,0,0,28,0,100,364,94,370,206,16
2025-03-01,0,0,32,0,106,311,88,330,192,20
