year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,207,18318,2561,8009,29095,6817,842,2786,18650,29095
2015-03-01,207,25431,8996,14089,48723,12682,2039,2716,31286,48723
2016-03-01,241,32742,8497,13948,55428,15872,2175,1830,35550,55428
2017-03-01,240,36400,9832,14624,61095,17675,2801,1192,39427,61095
2018-03-01,240,38074,10385,15598,64297,18853,2465,7143,35837,64297
2019-03-01,240,41169,10514,12666,64590,21837,1411,7903,33439,64590
2020-03-01,240,45025,8315,14615,68194,22847,1220,10143,33984,68194
2021-03-01,240,46223,3869,17291,67622,21553,1567,9612,34890,67622
2022-03-01,240,47771,1290,20474,69776,22665,1287,12849,32975,69776
2023-03-01,240,55755,6886,17831,80712,24065,4973,14824,36849,80712
2024-03-01,240,63427,3274,18387,85328,23248,5354,15026,41700,85328
2025-03-01,240,71978,2362,17328,91908,22586,6644,18354,44324,91908
2025-09-01,240,77580,5215,20672,103706,33371,1355,19543,49438,103706
