year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,16080,9078,7003,44,-1968,44,409,4581,15,3879,15.17,10
2015-03-01,27392,19498,7894,29,283,579,1195,6403,14,5476,21.92,14
2016-03-01,28487,20313,8174,29,-42,523,1038,6571,14,5658,18.89,5
2017-03-01,31578,21476,10102,32,610,400,1265,9048,13,7846,29.03,12
2018-03-01,26489,20858,5631,21,-135,518,1500,3479,26,2542,8.73,23
2019-03-01,29066,22689,6377,22,-258,555,1753,3810,16,3208,11.11,25
2020-03-01,32838,25855,6983,21,382,303,2053,5010,16,4172,15.69,25
2021-03-01,33498,25028,8470,25,-3449,141,2080,2799,18,2272,12.1,62
2022-03-01,38654,28397,10258,27,-3505,127,2144,4481,24,3389,13.64,73
2023-03-01,43886,32235,11650,27,459,172,2529,9408,9,8513,35.32,33
2024-03-01,48497,35479,13018,27,865,238,2557,11088,13,9610,39.91,34
2025-03-01,52578,37464,15114,29,1444,231,2575,13752,20,10965,45.55,35
2026-03-14,56809,39316,17493,31,457,302,2826,14822,,10953,45.5,
