year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0,0,44,0,50,410,174,286,71,34
2015-03-01,0,0,29,0,68,307,178,197,-7,23
2016-03-01,0,0,29,0,87,370,207,251,37,18
2017-03-01,0,0,32,0,83,307,197,193,-4,20
2018-03-01,0,0,21,0,108,338,234,212,-31,10
2019-03-01,0,0,22,0,112,366,192,285,31,10
2020-03-01,0,0,21,0,105,311,142,274,51,10
2021-03-01,0,0,25,0,99,378,167,310,51,13
2022-03-01,0,0,27,0,99,315,158,255,47,17
2023-03-01,0,0,27,0,95,360,194,261,40,16
2024-03-01,0,0,27,0,85,338,194,229,55,17
2025-03-01,0,0,29,0,91,348,210,228,65,20
