Year,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets
Mar 2014,"85,864","59,352","26,512",31%,"2,881","5,879","15,650","7,864",62%,"3,019",5.04,26%,"1,999","57,757","75,896","45,840","181,492","140,614",0,"15,531","25,347","181,492"
Mar 2015,"96,101","62,499","33,602",35%,"1,243","4,446","19,858","10,540",52%,"5,048",8.41,33%,"1,999","37,778","83,415","58,747","181,939","124,279","17,415","10,752","29,494","181,939"
Mar 2016,"96,532","62,548","33,984",35%,"4,858","8,546","17,450","12,846",46%,"6,893",11.05,9%,"1,999","64,771","100,646","57,056","224,472","172,293","5,702","11,977","34,500","224,472"
Mar 2017,"95,468","60,138","35,330",37%,"1,713","9,547","19,773","7,723",45%,"4,241",6.91,11%,"1,999","65,458","107,288","57,578","232,322","178,235","10,838","14,339","28,910","232,322"
Mar 2018,"82,639","52,560","30,079",36%,"1,756","9,326","19,243","3,267",33%,"2,184",2,194%,"1,999","67,536","111,334","68,653","249,521","187,200","9,751","16,159","36,411","249,521"
Mar 2019,"80,780","55,016","25,764",32%,"4,474","10,622","21,348","-1,732",-197%,"1,688",0.74,244%,"1,999","69,424","125,428","77,176","274,026","200,832","9,634","15,711","47,850","274,026"
Mar 2020,"87,539","50,930","36,610",42%,"-37,775","13,992","27,690","-42,846",-28%,"-30,664",-55.06,-3%,"2,728","74,417","148,228","133,718","359,091","229,256","4,282","25,476","100,077","359,091"
Mar 2021,"100,616","55,337","45,279",45%,"-4,215","15,091","29,404","-3,432",260%,"-12,364",-25.63,0%,"2,746","56,207","162,785","122,679","344,417","223,480","5,726","27,550","87,661","344,417"
Mar 2022,"116,547","59,013","57,534",49%,"4,656","16,616","33,091","12,483",33%,"8,305",7.23,39%,"2,795","63,759","169,678","124,975","361,207","244,083","5,955","29,349","81,820","361,207"
Mar 2023,"139,145","67,871","71,274",51%,"1,019","19,300","36,432","16,561",26%,"12,287",14.97,27%,"2,837","74,726","226,020","140,974","444,557","277,394","49,425","32,954","84,784","444,557"
Mar 2024,"149,982","72,090","77,893",52%,"-3,028","22,648","39,538","12,679",32%,"8,558",13.2,62%,"2,877","79,142","215,592","144,408","442,019","303,303","16,904","31,602","90,210","442,019"
Mar 2025,"172,985","87,925","85,060",49%,"20,662","21,754","45,570","38,398",2%,"37,481",58.85,28%,"2,900","110,772","213,642","177,692","505,006","388,468","10,999","5,838","99,700","505,006"
TTM,"194,614","85,608","109,006",56%,"11,479","21,504","49,677","49,302",,"44,683",67.62,,"2,900","114,896","208,010","198,057","523,863","395,060","10,219","9,459","109,124","523,863"
