Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-January-2026,1656.45,1666.90,1602.20,1615.10,1615.520808536694438902,145349,6692,234814334.00,140104,96.39,64.70,-41.35
8-January-2026,1677.90,1679.85,1640.20,1659.60,1659.174730270747099138,14737,1739,24451258.00,13617,92.40,39.65,-18.30
7-January-2026,1678.45,1680.30,1660.75,1671.95,1670.792998477929984779,657,351,1097711.00,285,43.38,19.55,-6.50
6-January-2026,1694.35,1709.40,1671.00,1692.50,1687.982433479721002324,3871,545,6534180.00,2436,62.93,38.40,-1.85
5-January-2026,1656.00,1700.00,1656.00,1694.05,1693.068762278978388998,1527,108,2585316.00,1421,93.06,44.00,38.05
2-January-2026,1689.70,1721.10,1683.25,1691.80,1694.918556223970384081,4322,531,7325438.00,3517,81.37,37.85,2.10
1-January-2026,1694.85,1718.40,1692.50,1697.30,1702.046000000000000000,1500,235,2553069.00,604,40.27,25.90,2.45
31-December-2025,1660.20,1703.65,1660.20,1692.80,1692.248241912798874824,1422,67,2406377.00,1303,91.63,43.45,32.60
30-December-2025,1664.80,1685.00,1664.55,1682.90,1676.526694572235275534,101294,74,169822095.00,100681,99.39,20.45,18.10
29-December-2025,1683.00,1698.90,1660.25,1664.80,1676.158921933085501858,1076,132,1803547.00,499,46.38,38.65,-18.20
26-December-2025,1701.85,1718.20,1680.40,1693.90,1691.095717884130982367,2382,132,4028190.00,1098,46.10,37.80,-7.95
24-December-2025,1703.20,1738.40,1686.15,1704.10,1712.834423548650858544,2446,174,4189593.00,1472,60.18,52.25,0.90
23-December-2025,1725.20,1729.00,1694.00,1702.45,1700.915422484061012024,12391,728,21076043.00,9691,78.21,35.00,-22.75
22-December-2025,1660.00,1729.00,1660.00,1725.20,1718.709440079810450180,8019,993,13782331.00,7182,89.56,69.00,65.20
19-December-2025,1616.00,1688.00,1616.00,1671.45,1660.933158147969947074,27019,1939,44876753.00,7027,26.01,72.00,55.45
