Year,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets
Mar 2014,"50,133","36,743","13,390",27%,"2,664",9,"1,317","14,728",28%,"10,656",23,34%,286,"44,244",0,"12,436","56,966","8,378",961,"4,331","43,296","56,966"
Mar 2015,"53,319","38,436","14,883",28%,"3,430",12,"1,017","17,284",28%,"12,372",27,55%,572,"50,164",0,"15,553","66,289","11,346",776,"2,270","51,897","66,289"
Mar 2016,"62,441","45,362","17,079",27%,"3,120",0,"1,459","18,740",28%,"13,489",29,41%,"1,144","60,600",0,"13,354","75,098","13,386",960,"1,892","58,860","75,098"
Mar 2017,"68,484","49,880","18,604",27%,"3,050",0,"1,703","19,951",28%,"14,353",31.24,41%,"1,144","67,838",0,"14,166","83,148","14,179","1,365","16,423","51,181","83,148"
Mar 2018,"70,522","51,700","18,822",27%,"3,311",0,"1,863","20,270",21%,"16,029",37,59%,"1,088","63,835",0,"14,426","79,349","12,574","1,606","12,163","53,006","79,349"
Mar 2019,"82,675","62,505","20,170",24%,"2,882",0,"2,011","21,041",27%,"15,410",35,60%,"2,170","62,778",0,"19,118","84,066","15,710","1,388","11,261","55,707","84,066"
Mar 2020,"90,791","68,524","22,267",25%,"2,803",170,"2,893","22,007",24%,"16,639",39,45%,"2,122","63,328","4,633","21,717","91,800","23,789",954,"8,792","58,265","91,800"
Mar 2021,"100,472","72,583","27,889",28%,"2,201",195,"3,267","26,628",27%,"19,423",45,59%,"2,124","74,227","5,325","25,835","107,511","25,505",922,"14,205","66,879","107,511"
Mar 2022,"121,641","90,150","31,491",26%,"2,295",200,"3,476","30,110",26%,"22,146",52.56,59%,"2,098","73,252","5,474","35,905","116,729","25,800",416,"20,324","70,189","116,729"
Mar 2023,"146,767","111,637","35,130",24%,"2,701",284,"4,225","33,322",28%,"24,108",58,58%,"2,069","73,338","8,299","40,890","124,596","29,225",288,"19,478","75,605","124,596"
Mar 2024,"153,670","117,245","36,425",24%,"4,711",470,"4,678","35,988",27%,"26,248",63.2,73%,"2,071","86,045","8,359","40,885","137,360","27,622",293,"24,623","84,822","137,360"
Mar 2025,"162,990","123,754","39,236",24%,"3,600",416,"4,812","37,608",29%,"26,750",64.32,67%,"2,073","93,745","8,227","43,750","147,795","30,961",814,"23,541","92,479","147,795"
TTM,"173,173","132,187","40,986",24%,"3,064",413,"4,776","38,861",,"28,003",68,,"2,074","101,256","8,755","48,295","160,380","32,656","1,124","23,485","103,115","160,380"
