Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-January-2026,3185.05,3229.30,3185.05,3208.00,3208.090346465579788784,161257,13031,517327025.00,93132,57.75,44.25,22.95
8-January-2026,3294.45,3294.45,3181.60,3204.30,3211.200151394011874127,446517,36938,1433855458.00,153288,34.33,112.85,-90.15
7-January-2026,3247.20,3300.00,3230.50,3294.45,3283.994630693424266931,119941,15829,393885600.00,63097,52.61,69.50,47.25
6-January-2026,3211.10,3259.00,3206.40,3255.75,3239.329725127706154220,24666,2353,79901307.00,14038,56.91,52.60,44.65
5-January-2026,3249.85,3249.85,3191.85,3214.70,3225.033377004672307109,126704,7262,408624629.00,89880,70.94,58.00,-35.15
2-January-2026,3243.40,3253.40,3220.00,3250.10,3240.056805178926908788,63797,3782,206705904.00,48929,76.69,33.40,6.70
1-January-2026,3206.05,3234.25,3198.75,3226.80,3222.114615635710788314,220572,15967,710708265.00,51318,23.27,35.50,20.75
31-December-2025,3246.00,3246.00,3199.10,3205.75,3215.306793343170752878,126727,13271,407466184.00,78772,62.16,46.90,-40.25
30-December-2025,3240.10,3266.00,3239.50,3247.50,3250.931599047798462091,58391,5444,189825147.00,32366,55.43,26.50,7.40
29-December-2025,3279.80,3286.00,3243.50,3253.65,3257.127234490010515247,74178,4550,241607184.00,52869,71.27,42.50,-26.15
26-December-2025,3312.00,3319.00,3274.00,3279.80,3289.558167948663465216,94124,8221,309626373.00,54517,57.92,45.00,-32.20
24-December-2025,3308.80,3326.00,3295.40,3320.35,3313.755280799595336120,156179,19882,517538986.00,54306,34.77,30.60,11.55
23-December-2025,3324.40,3324.40,3294.20,3310.50,3302.067882015567390413,97640,10517,322413908.00,66215,67.82,30.20,-13.90
22-December-2025,3300.10,3328.20,3290.40,3324.65,3312.510775057905815926,142041,9540,470512343.00,90920,64.01,37.80,24.55
19-December-2025,3300.00,3317.90,3277.20,3282.60,3301.234952078627678407,65524,5568,216310119.00,31729,48.42,40.70,-17.40
18-December-2025,3234.70,3288.70,3224.05,3280.10,3267.880750362431396914,309024,30156,1009853581.00,41640,13.47,64.65,45.40
17-December-2025,3204.55,3236.10,3201.05,3217.60,3220.070582853452451428,37162,2976,119664263.00,16097,43.32,35.05,13.05
16-December-2025,3221.00,3221.05,3191.00,3204.55,3203.203293088133697404,60794,5393,194735541.00,39494,64.96,30.05,-16.45
15-December-2025,3220.10,3237.00,3196.30,3230.40,3222.533312224105496470,53689,3194,173014591.00,34897,65.00,40.70,10.30
12-December-2025,3198.70,3223.95,3184.95,3220.15,3212.660214997055436894,113769,4750,365501140.00,92933,81.69,39.00,21.45
11-December-2025,3206.00,3207.75,3153.75,3191.60,3186.200880975261248660,397514,23648,1266559457.00,39307,9.89,54.00,-14.40
10-December-2025,3208.25,3216.50,3178.70,3188.15,3190.084436705514562214,174012,14252,555112973.00,72970,41.93,37.80,-20.10
9-December-2025,3226.25,3236.20,3180.80,3208.25,3197.080152538017706557,171236,16206,547455217.00,94472,55.17,55.40,-18.00
8-December-2025,3238.00,3259.80,3210.00,3237.90,3241.294497158883951336,219632,13071,711891993.00,141830,64.58,49.80,-0.10
5-December-2025,3239.50,3270.70,3223.25,3238.90,3248.768563430171108635,350070,15947,1137296411.00,223499,63.84,47.45,-0.60
4-December-2025,3181.25,3249.95,3181.25,3228.90,3228.863023658200714273,532289,25418,1718688270.00,141420,26.57,68.70,47.65
