year,sales,operating_profit,net_profit,eps_in_rs,equity_capital,reserves,borrowings,total_assets
Mar 2014,81809,25153,19332,48.92,196,48999,297,66829
Mar 2015,94648,24482,20060,50.68,196,50439,358,73318
Mar 2016,108646,30677,24338,61.58,197,70875,245,88291
Mar 2017,117966,32311,26357,66.71,197,86017,289,102333
Mar 2018,123104,32516,25880,67.46,191,84937,247,105126
Mar 2019,146463,39506,31562,83.87,375,89071,62,113901
Mar 2020,156949,42109,32447,86.19,375,83751,8174,120127
Mar 2021,164177,46546,32562,87.67,370,86063,7795,129992
Mar 2022,191754,53057,38449,104.75,366,88773,7818,140924
Mar 2023,225458,59259,42303,115.19,366,90058,7688,142859
Mar 2024,240893,64296,46099,126.88,362,90127,8021,145472
Mar 2025,255324,67407,48797,134.2,362,94394,9392,158649
