year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,1488,31072,38779,37765,109104,37557,9726,11893,49928,109104
2015-03-01,4042,85628,46056,31323,167049,137857,8532,15023,5637,167049
2016-03-01,3263,69761,31083,14195,118302,132158,7931,10186,-31973,118302
2017-03-01,2034,53175,8926,19505,83640,81170,9082,19569,-26181,83640
2018-03-01,1973,39428,7243,31735,80379,142592,1975,8596,-72784,80379
2019-03-01,1462,34761,35519,33547,105289,90032,4813,10083,361,105289
2020-03-01,1146,40704,19506,26353,87709,103262,3409,5462,-24424,87709
2021-03-01,3688,75414,48040,30813,157955,138864,5325,26699,-12933,157955
2022-03-01,4434,86622,30040,11456,132552,41659,1544,23455,65894,132552
2023-03-01,1730,88704,18142,28066,136642,65399,7562,24432,39249,136642
2024-03-01,1242,45643,29459,30846,107190,74379,2875,14195,15741,107190
2025-03-01,2294,53211,25635,27552,108692,74611,3282,17700,13099,108692
