year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0.2392993487536492,0.0,0.2670895418187621,655.5,54,39,58,35,26,16.529594058429417
2015-03-01,0.2438505203405865,0.0,0.2791312665278793,769.5,47,59,83,23,43,16.493615522165296
2016-03-01,0.2184665716506867,0.0,0.2735222049614836,826.5,63,38,78,23,37,24.03306653774638
2017-03-01,0.2080687715635963,0.0,0.2716546930669937,890.3399999999999,54,36,55,35,47,29.746645364088895
2018-03-01,0.246892472621413,0.0,0.2668954368849437,1054.5,77,49,71,55,49,14.996533881304185
2019-03-01,0.2372667364660959,0.0,0.2439673420018143,997.5,54,53,72,35,24,15.301700733672295
2020-03-01,0.2542245989304812,0.0707868601986249,0.2452555870075227,1111.5,74,34,53,55,18,16.63438012267857
2021-03-01,0.2543909051616875,0.0697436837762439,0.2775798232343339,1282.5,69,23,52,40,26,19.647471423959864
2022-03-01,0.2939084273390843,0.0726476443264764,0.2588847510296693,1497.96,81,49,77,53,27,27.639002998787756
2023-03-01,0.3197050671688304,0.1100560955879427,0.2393589839677856,1653.0,58,57,85,30,47,12.98474331036725
2024-03-01,0.2978800671841663,0.0948635889055336,0.2370339038198737,1801.2,66,25,77,14,49,11.951081713665214
2025-03-01,0.2791751027990565,0.0858606942328163,0.240726424934045,1833.12,81,42,80,43,27,27.174151708654193
