year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,3949,68429,33708,12476,118562,54109,5005,20950,38498,118562
2015-03-01,4868,21271,7907,23929,57975,37641,3325,5149,11860,57975
2016-03-01,2657,66468,18039,32332,119496,89238,5659,23025,1574,119496
2017-03-01,3114,36696,11053,30696,81559,71765,3520,25467,-19193,81559
2018-03-01,1961,92915,35328,27446,157650,109275,6340,18157,23878,157650
2019-03-01,1256,47087,20816,10555,79714,113871,8931,28641,-71729,79714
2020-03-01,4454,51108,16708,14185,86455,42753,1202,21824,20676,86455
2021-03-01,2480,20571,48182,12014,83247,89647,6581,29817,-42798,83247
2022-03-01,2102,51785,37289,26750,117926,120928,9649,23135,-35786,117926
2023-03-01,3951,88928,20957,28399,142235,104470,2172,10714,24879,142235
2024-03-01,3735,98710,18993,16789,138227,101753,1542,10467,24465,138227
2025-03-01,4197,84905,27383,24135,140620,81677,4477,27776,26690,140620
