year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,23334,-29368,8980,2946
2015-03-01,14830,-3288,1338,12880
2016-03-01,16589,-15635,6400,7354
2017-03-01,9450,-13387,350,-3587
2018-03-01,34095,-28259,-472,5364
2019-03-01,36617,-22877,4352,18092
2020-03-01,13462,-18076,-1829,-6443
2021-03-01,6602,-18927,-2746,-15071
2022-03-01,33470,-14029,8206,27647
2023-03-01,11391,-9637,5261,7015
2024-03-01,31891,-18008,5876,19759
2025-03-01,17099,-17626,-4699,-5226
