release_date,title,content,tick,company_id
3/9/2024,diam cras,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,209,3
2/22/2023,sit amet,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,204,3
1/26/2025,quisque,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,239,3
1/30/2024,morbi non,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,611,3
2/26/2023,nunc,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,40,3
9/10/2024,duis,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,98,3
7/11/2024,tellus,amet sem fusce consequat nulla nisl nunc nisl duis bibendum,528,3
1/20/2025,amet,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,425,3
5/27/2024,non,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,685,3
5/17/2023,turpis,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,327,3
7/6/2024,eros,semper porta volutpat quam pede lobortis ligula sit amet eleifend,80,3
11/11/2023,vestibulum ante,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,78,3
12/25/2024,id nisl,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,367,3
6/7/2024,luctus,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,742,3
10/16/2024,ultrices phasellus,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,526,3
10/11/2024,vestibulum eget,in hac habitasse platea dictumst maecenas ut massa quis augue,183,3
3/16/2024,eu sapien,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,605,3
5/5/2023,eros,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,133,3
1/2/2024,nec nisi,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,98,3
1/1/2025,molestie,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,558,3
5/27/2024,massa,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,5,3
10/6/2024,eget,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,18,3
5/29/2024,neque aenean,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,222,3
11/5/2023,auctor sed,felis sed interdum venenatis turpis enim blandit mi in porttitor,459,3
2/28/2023,vel lectus,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,344,3
12/12/2024,non sodales,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,264,3
1/6/2023,erat volutpat,at turpis a pede posuere nonummy integer non velit donec,475,3
1/8/2025,sed,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,33,3
7/19/2023,vel,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,495,3
12/12/2024,pretium quis,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,574,3
1/6/2023,ligula vehicula,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,129,3
2/26/2023,odio consequat,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,293,3
3/13/2023,metus vitae,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,236,3
1/10/2024,eget,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,279,3
5/12/2023,vivamus,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,708,3
1/4/2024,sagittis nam,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,394,3
6/1/2023,blandit nam,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,216,3
1/9/2024,posuere cubilia,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,533,3
2/3/2024,cras in,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,553,3
3/22/2023,nunc nisl,maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,686,3
9/18/2024,sociis natoque,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,598,3
1/8/2023,auctor,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,278,3
8/18/2024,odio,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,452,3
2/1/2023,ante,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,9,3
11/16/2024,ante vivamus,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,232,3
5/26/2023,lobortis est,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,521,3
6/19/2023,fusce,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,63,3
11/9/2023,donec diam,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,46,3
3/25/2023,sociis,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,739,3
3/13/2024,ut odio,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,471,3
8/17/2023,pellentesque at,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,612,3
4/4/2024,duis bibendum,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,59,3
1/7/2024,vel,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,131,3
1/24/2024,id,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,617,3
9/24/2024,adipiscing,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,645,3
5/24/2023,urna pretium,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,239,3
9/18/2023,in tempor,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,34,3
12/7/2024,sit amet,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,459,3
6/18/2023,erat eros,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,494,3
3/17/2023,feugiat,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,153,3
9/20/2024,id sapien,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,717,3
1/7/2023,aliquet pulvinar,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,187,3
5/8/2023,pulvinar nulla,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,340,3
12/28/2024,mi integer,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,75,3
11/24/2023,vel,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,600,3
5/11/2024,morbi quis,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,504,3
3/9/2023,elit ac,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,129,3
5/20/2024,semper,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius,581,3
1/20/2023,dui maecenas,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,195,3
3/4/2024,sed nisl,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,312,3
12/15/2024,lorem ipsum,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,259,3
10/28/2024,lobortis,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,729,3
1/2/2023,sit,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,637,3
6/5/2023,nisl aenean,duis consequat dui nec nisi volutpat eleifend donec ut dolor,362,3
6/5/2024,tristique est,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,601,3
7/26/2024,sociis natoque,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,371,3
12/31/2023,tempus,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,159,3
6/19/2023,leo maecenas,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,329,3
7/23/2024,bibendum,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,177,3
7/3/2024,mauris eget,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,484,3
2/1/2023,consequat,a suscipit nulla elit ac nulla sed vel enim sit,40,3
10/21/2023,vivamus,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,178,3
3/27/2024,interdum mauris,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,305,3
8/13/2024,duis bibendum,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus,334,3
10/4/2023,id nulla,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,581,3
10/3/2024,vel,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,433,3
8/14/2024,non,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,33,3
3/17/2023,tempus vel,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,517,3
6/25/2023,id,eu massa donec dapibus duis at velit eu est congue,396,3
2/7/2025,egestas,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,596,3
1/23/2025,in,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,467,3
8/7/2024,lacinia,integer ac leo pellentesque ultrices mattis odio donec vitae nisi,663,3
4/30/2024,accumsan,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,247,3
12/8/2024,vestibulum vestibulum,dui vel nisl duis ac nibh fusce lacus purus aliquet at,469,3
12/1/2023,consequat,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,497,3
9/30/2024,quam sollicitudin,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,52,3
