date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2026-01-09,340.85,341.0,336.1,337.1,2707167,62016,915327276.0
2026-01-08,341.5,344.95,339.0,340.9,2691424,62312,918179170.0
2026-01-07,342.85,344.5,339.35,341.35,2056507,57713,703003060.0
2026-01-06,350.05,350.85,337.9,342.45,3855421,84934,1325893526.0
2026-01-05,350.15,353.9,346.3,349.7,3273277,60359,1147907799.0
2026-01-02,360.45,360.45,345.35,350.15,8128503,159687,2841721490.0
2026-01-01,402.25,402.3,362.7,363.95,11884149,198130,4432549306.0
2025-12-31,401.05,403.7,400.65,403.0,365582,18913,147273126.0
2025-12-30,401.85,403.45,400.4,400.6,412174,7841,165438564.0
2025-12-29,403.45,404.6,400.0,402.4,45895849,17868,18361819503.0
2025-12-26,405.1,407.2,403.65,404.3,425049,11178,172024462.0
2025-12-24,407.05,409.1,405.45,406.65,1608273,28000,654945360.0
2025-12-23,401.8,408.9,401.8,407.65,609312,12190,246900334.0
2025-12-22,401.1,403.65,401.0,402.55,565424,10373,227719666.0
2025-12-19,400.95,402.95,400.35,401.1,989497,6847,397765191.0
2025-12-18,399.95,402.0,399.75,400.2,1051875,28058,421811253.0
2025-12-17,401.65,403.0,399.3,399.95,4011014,13073,1606168864.0
2025-12-16,401.0,405.65,401.0,401.7,622327,9715,251234727.0
2025-12-15,399.65,403.35,399.65,402.3,491708,11639,197553094.0
2025-12-12,402.55,403.85,400.0,400.5,703404,13523,282170881.0
2025-12-11,403.1,404.0,401.2,403.05,1251248,30159,503777089.0
2025-12-10,400.85,404.5,400.85,403.1,512726,22385,206857990.0
2025-12-09,402.35,404.5,400.1,400.85,619248,7235,249712803.0
2025-12-08,404.55,405.25,400.7,402.15,729597,7536,294580995.0
2025-12-05,403.05,405.35,401.8,404.8,598309,12464,241691869.0
2025-12-04,400.25,403.4,399.05,403.05,2453631,19761,986718575.0
2025-12-03,401.35,402.2,398.9,400.55,1385564,19577,554988590.0
2025-12-02,401.15,405.4,400.5,401.05,408653,15386,164292919.0
2025-12-01,402.35,405.5,398.3,404.4,1222939,32358,492719355.0
2025-11-28,404.0,404.75,402.55,404.4,1317040,7375,531795543.0
2025-11-27,403.25,405.55,402.0,403.95,1323253,29884,533966149.0
2025-11-26,401.0,404.1,401.0,402.25,385371,18636,155191750.0
2025-11-25,404.0,404.5,400.1,400.7,313693,12138,126191536.0
2025-11-24,410.95,410.95,402.75,403.6,179485,4714,72732937.0
2025-11-21,405.0,408.4,404.45,407.8,447626,9069,182155537.0
2025-11-20,403.55,407.0,403.2,405.5,1179441,24365,478295596.0
2025-11-19,404.6,405.0,402.7,403.55,166598,7939,67256049.0
2025-11-18,407.2,408.5,404.5,405.75,294096,8781,119267987.0
2025-11-17,411.0,411.0,406.05,407.1,126084,4544,51431690.0
2025-11-14,404.25,408.8,400.3,407.85,571505,11915,231170313.0
2025-11-13,406.4,407.8,404.6,405.75,1056900,26115,429188501.0
2025-11-12,407.55,407.8,405.6,407.05,360450,12514,146638188.0
2025-11-11,406.55,407.85,404.6,406.85,347048,9941,140994607.0
2025-11-10,404.0,407.0,403.9,405.65,914325,12840,370686995.0
2025-11-07,405.45,409.1,403.6,404.0,757484,7662,307246094.0
2025-11-06,409.2,413.1,406.45,407.3,1904518,16161,776206237.0
2025-11-04,413.95,414.65,408.35,408.6,664472,11342,272213917.0
2025-11-03,420.25,421.7,413.4,413.95,454748,7162,189467268.0
2025-10-31,419.8,426.5,418.35,420.25,1144792,16025,484512062.0
2025-10-30,421.6,421.85,416.15,418.7,1707852,30687,715480135.0
2025-10-29,417.05,422.0,416.05,421.6,661655,20151,277447646.0
2025-10-28,420.0,421.65,416.0,417.95,450198,12569,188074810.0
2025-10-27,417.0,422.5,416.6,420.35,844482,17773,355123799.0
2025-10-24,415.85,418.0,413.4,417.1,1648664,14002,684339350.0
2025-10-23,415.0,420.25,413.35,415.85,2147295,33261,896607202.0
2025-10-21,414.45,414.45,412.4,412.85,99331,5318,41041130.0
2025-10-20,412.0,414.8,411.3,412.95,660387,8693,272344289.0
2025-10-17,405.05,413.75,405.05,412.1,1124012,15802,462020223.0
2025-10-16,400.2,405.7,399.7,405.05,1694286,24723,683671509.0
2025-10-15,398.65,400.9,397.3,400.05,408357,14397,163256776.0
2025-10-14,399.7,401.0,396.25,396.7,183443,12320,73024192.0
2025-10-13,399.55,400.95,398.6,399.1,496628,18295,198453873.0
2025-10-10,398.15,403.9,398.15,402.8,4087277,17973,1643415730.0
2025-10-09,399.7,401.4,399.0,399.9,1065847,13130,426291329.0
2025-10-08,400.05,401.8,398.0,399.7,3648830,15711,1455420915.0
2025-10-07,401.35,402.75,399.6,399.85,1065308,12966,426386688.0
2025-10-06,402.75,403.95,399.65,400.8,528221,16682,211788379.0
2025-10-03,403.6,405.4,402.3,404.35,629927,12962,254552896.0
2025-10-01,401.9,406.15,399.65,405.65,1381859,16909,558468122.0
2025-09-30,406.5,407.15,400.4,401.6,257240,5354,103540353.0
2025-09-29,408.05,408.05,403.25,406.45,342483,7846,138941871.0
2025-09-26,399.35,405.4,399.35,405.05,998159,15001,402299492.0
2025-09-25,400.85,402.8,398.1,400.2,1035091,30443,414306556.0
2025-09-24,403.5,404.1,400.8,401.25,5827502,27234,2338751883.0
2025-09-23,407.1,407.9,402.2,403.35,1192017,28116,481460761.0
2025-09-22,410.35,411.2,406.1,407.1,1025287,19265,417991913.0
2025-09-19,411.95,412.5,409.1,410.15,1344608,15764,551491836.0
2025-09-18,411.8,412.95,410.1,411.95,943407,20972,388478009.0
2025-09-17,413.5,414.85,408.15,409.3,1155208,19954,474472197.0
2025-09-16,412.8,414.2,411.9,413.15,783817,13511,323712066.0
2025-09-15,413.55,414.55,411.75,412.65,3926540,15673,1620430743.0
2025-09-12,415.55,416.8,412.95,413.6,928471,9495,384802699.0
2025-09-11,412.95,416.75,412.9,415.0,1058148,26193,439963581.0
2025-09-10,411.35,413.6,409.0,412.95,470784,16982,193479390.0
2025-09-09,408.55,410.95,407.3,410.2,541739,6240,222004214.0
2025-09-08,408.15,410.55,407.0,407.4,351472,12055,143472164.0
2025-09-05,415.2,416.95,404.4,407.5,893710,15535,363527896.0
2025-09-04,422.0,425.7,415.0,415.85,1008347,28655,421404475.0
2025-09-03,408.25,413.3,407.25,411.5,447157,8589,183536946.0
2025-09-02,407.0,407.8,404.55,406.65,479536,6975,194789719.0
2025-09-01,410.0,410.2,405.0,405.7,414684,16200,168821225.0
2025-08-29,402.8,410.45,402.25,409.75,367480,7107,149834047.0
2025-08-28,405.05,405.05,400.05,400.7,725933,8454,291511446.0
2025-08-26,399.35,405.4,398.3,403.1,1329909,24902,534764765.0
2025-08-25,398.4,400.6,396.3,399.4,629806,20757,251127609.0
2025-08-22,406.5,406.5,397.5,398.3,1227777,35778,490301104.0
2025-08-21,406.95,406.95,403.35,405.75,863568,12544,350543956.0
2025-08-20,409.55,410.25,405.45,406.0,1297019,10272,529776395.0
2025-08-19,406.8,409.35,404.45,409.05,896900,13378,364222624.0
2025-08-18,411.85,413.6,405.0,406.2,889491,13821,362984142.0
2025-08-14,414.95,415.45,411.05,411.4,926228,11551,381869177.0
2025-08-13,416.5,417.65,413.5,414.0,609735,11893,253054030.0
2025-08-12,415.45,419.85,415.45,416.4,466745,9991,194839424.0
2025-08-11,416.3,417.0,413.9,416.8,103585,5652,43086454.0
2025-08-08,414.85,415.5,413.25,414.4,786553,14881,325757726.0
2025-08-07,412.0,414.65,411.9,413.6,274944,10742,113647264.0
2025-08-06,414.15,415.1,410.55,412.0,168864,6370,69565313.0
2025-08-05,417.0,417.95,412.9,414.05,329374,8543,136421559.0
2025-08-04,419.45,422.8,415.1,416.65,521676,15400,218272050.0
2025-08-01,414.1,419.2,412.0,416.5,386224,11472,160895564.0
2025-07-31,405.05,413.95,405.05,411.8,620530,15368,254663543.0
2025-07-30,409.9,409.9,405.7,407.7,367365,16216,149608149.0
2025-07-29,410.0,411.5,408.0,408.55,376875,9883,154219288.0
2025-07-28,410.5,410.9,408.6,409.8,247955,9970,101581420.0
2025-07-25,412.6,412.6,407.75,409.35,386335,17234,158035196.0
2025-07-24,415.6,416.0,409.5,410.0,430499,20999,177155676.0
2025-07-23,416.3,417.9,414.05,414.95,504355,11277,209424270.0
2025-07-22,420.5,420.5,415.3,416.1,292939,11252,122265012.0
2025-07-21,421.4,422.5,418.55,420.15,564080,5758,237797167.0
2025-07-18,425.5,425.5,420.1,422.65,154249,4331,65130850.0
2025-07-17,425.5,425.75,423.0,423.8,129602,3777,55010432.0
2025-07-16,422.0,425.4,420.1,424.45,444356,9530,188097668.0
2025-07-15,421.0,422.6,419.1,422.15,193747,4455,81621452.0
2025-07-14,417.45,419.9,416.35,419.3,1081025,11074,451313247.0
2025-07-11,417.0,418.05,415.5,417.05,581803,10885,242650933.0
2025-07-10,420.5,420.5,416.2,416.9,598891,5475,250107361.0
2025-07-09,417.05,420.3,415.5,419.35,156953,3390,65707292.0
2025-07-08,416.0,417.9,414.7,417.05,772498,13807,321828995.0
2025-07-07,412.55,417.1,412.1,416.15,650619,12097,270603117.0
2025-07-04,415.45,415.45,411.9,412.55,617924,16011,255268903.0
2025-07-03,413.6,415.7,411.3,413.55,484352,7204,200303962.0
2025-07-02,416.55,416.9,411.5,412.9,627668,18785,259824502.0
2025-07-01,417.9,418.85,414.7,415.2,855540,20649,356244760.0
2025-06-30,419.95,420.6,415.85,416.5,272801,8234,114005270.0
2025-06-27,420.4,422.0,417.75,418.95,1066689,14636,447959087.0
2025-06-26,416.8,420.9,416.3,420.35,203703,3800,85186789.0
2025-06-25,416.0,418.1,415.3,416.35,147507,3009,61483880.0
2025-06-24,416.25,420.5,413.75,414.25,1320127,20587,549666917.0
2025-06-23,416.05,417.45,412.15,414.6,225882,5029,93778907.0
2025-06-20,416.0,419.9,416.0,418.45,697927,6152,292495626.0
2025-06-19,416.15,418.2,414.85,416.0,132694,3602,55275455.0
2025-06-18,416.5,418.5,414.9,415.8,319108,5377,132743743.0
2025-06-17,415.5,419.0,415.5,417.35,1221651,18491,509648826.0
2025-06-16,413.9,419.0,413.05,418.1,330365,7280,137750970.0
2025-06-13,415.5,419.35,413.65,413.9,937565,10794,390690921.0
2025-06-12,427.0,427.35,419.7,420.95,362492,6792,153016550.0
2025-06-11,428.0,428.0,424.8,426.1,1627257,13398,694694047.0
2025-06-10,423.65,428.5,423.1,427.1,1557617,13874,664418001.0
2025-06-09,421.75,423.55,420.7,423.05,604560,9341,255522922.0
2025-06-06,420.15,421.25,419.05,420.9,754865,15000,317225891.0
2025-06-05,417.05,420.9,415.85,419.3,482855,6198,202033684.0
2025-06-04,418.6,419.15,416.0,416.7,543294,7434,227037848.0
2025-06-03,419.35,421.75,415.75,416.8,1958233,37503,817789739.0
2025-06-02,418.0,420.65,414.9,419.35,610042,12899,255375975.0
2025-05-30,418.6,419.85,416.2,417.9,645666,17488,269715911.0
2025-05-29,421.9,422.8,416.45,418.75,361111,7362,151245677.0
2025-05-28,418.0,422.4,415.1,420.1,18779384,129913,7846282066.0
2025-05-27,442.8,444.15,430.95,433.9,1716841,26346,748519500.0
2025-05-26,441.95,443.45,436.95,442.8,805730,15369,354486815.0
2025-05-23,433.95,439.0,429.0,436.3,1220417,16652,530952648.0
2025-05-22,433.45,433.45,423.0,426.1,540525,10346,230233696.0
2025-05-21,435.55,438.1,432.1,432.95,339031,5649,147850368.0
2025-05-20,435.8,440.85,433.35,434.85,831917,12935,363870621.0
2025-05-19,435.6,438.5,432.8,435.1,336241,7113,146200139.0
2025-05-16,434.25,436.25,432.15,435.6,443112,7935,192700952.0
2025-05-15,428.65,435.4,426.05,432.45,1175835,16020,506191619.0
2025-05-14,428.0,431.25,426.0,429.3,291325,8886,124947176.0
2025-05-13,435.45,438.0,425.5,428.05,1104877,20542,474919483.0
2025-05-12,428.55,436.15,428.2,435.5,137482,3945,59523800.0
2025-05-09,422.6,429.0,422.6,423.5,890146,3554,380799728.0
2025-05-08,429.75,431.55,423.65,430.35,271781,6449,116297515.0
2025-05-07,430.05,435.0,429.6,430.65,960440,17612,415673361.0
2025-05-06,437.05,439.85,432.2,435.65,969570,15555,423847236.0
2025-05-05,430.2,438.45,429.35,437.1,538748,7592,234727511.0
2025-05-02,425.25,431.4,424.05,430.15,248353,4571,106364931.0
2025-04-30,427.0,428.9,423.25,425.3,153088,4762,65386918.0
2025-04-29,428.8,429.9,425.0,425.9,704752,12649,300269533.0
2025-04-28,424.7,430.85,424.7,428.8,554624,12126,237590427.0
2025-04-25,430.1,432.5,423.35,428.15,706122,18621,301548106.0
2025-04-24,430.95,435.8,429.4,430.1,387524,8055,167329718.0
2025-04-23,435.35,436.5,428.7,430.75,630529,14833,272224178.0
2025-04-22,426.0,434.9,424.0,433.7,609324,18771,261425288.0
2025-04-21,429.85,429.85,421.4,422.8,688209,17638,290862532.0
2025-04-17,424.15,427.75,421.7,427.25,516159,8726,219118380.0
2025-04-16,419.85,425.85,418.55,424.15,568491,7395,240509935.0
2025-04-15,423.85,429.0,418.9,420.3,622957,19037,262379702.0
2025-04-11,420.95,422.65,417.2,421.8,366637,6324,153958121.0
2025-04-09,413.1,418.95,411.6,416.15,526939,15640,219462657.0
2025-04-08,411.6,415.65,407.25,412.55,1099399,20190,452767075.0
2025-04-07,394.95,407.85,392.0,406.05,1025987,18882,412886257.0
2025-04-04,408.3,412.85,404.5,409.55,196517,7600,80401170.0
2025-04-03,407.75,410.15,406.35,409.3,97589,3200,39871367.0
2025-04-02,407.0,409.85,406.15,408.95,438196,9400,179005730.0
2025-04-01,411.05,414.3,405.5,406.65,910620,21729,373315141.0
2025-03-28,410.45,415.6,408.2,409.8,852982,9830,351727821.0
2025-03-27,407.55,410.5,405.7,409.4,789925,5799,323376408.0
2025-03-26,410.0,411.05,406.15,407.05,748760,9887,306009389.0
2025-03-25,413.95,415.15,408.7,409.9,921904,20223,379031084.0
