year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,145621,91777.98178776825,53843.01821223175,36.97476202761398,3782,2097,5398,50130.01821223175,25.0,37597.51365917381,375.97513659173813,48.518841569024076
2015-03-01,156720,107142.8520914477,49577.1479085523,31.634218930929237,3042,2330,5862,44427.1479085523,25.0,33320.36093141422,333.2036093141422,21.688137090319834
2016-03-01,141735,96601.3478058466,45133.6521941534,31.843688710730166,4023,2944,7873,38339.6521941534,25.0,28754.73914561505,287.54739145615054,15.079801199827955
2017-03-01,107598,81240.77774191342,26357.22225808658,24.49601503567592,4701,2163,4107,24788.22225808658,25.0,18591.166693564934,185.91166693564935,42.51165713116205
2018-03-01,95273,73001.16210455255,22271.837895447446,23.37686217023443,1627,802,3698,19398.837895447446,25.0,14549.128421585585,145.49128421585584,37.856475717962525
2019-03-01,116963,71955.23425229553,45007.76574770447,38.480344850683096,2635,2235,6846,38561.76574770447,25.0,28921.324310778353,289.2132431077835,44.25408139022518
2020-03-01,128723,101298.98888868754,27424.01111131246,21.304670580480924,3530,1797,4382,24775.01111131246,25.0,18581.258333484344,185.81258333484345,18.373672456418703
2021-03-01,124436,91846.71918160607,32589.280818393934,26.18959209424438,1560,714,4915,28520.280818393934,25.0,21390.21061379545,213.90210613795452,12.8956124528804
2022-03-01,160507,111282.51478948232,49224.48521051768,30.668123639789968,2759,1765,7993,42225.48521051768,25.0,31669.113907888262,316.6911390788826,21.36995314530884
2023-03-01,163521,129739.08168899591,33781.91831100409,20.65907027904923,3645,2798,4948,29680.91831100409,25.0,22260.688733253068,222.60688733253068,16.416275989933872
2024-03-01,166041,114965.70195793525,51075.29804206475,30.760654321561994,4722,768,2478,52551.29804206475,25.0,39413.47353154856,394.1347353154856,34.56140139830297
2025-03-01,75467,48676.20319863167,26790.796801368328,35.50001563778649,4891,1113,7469,23099.796801368328,25.0,17324.847601026246,173.24847601026246,43.20252670279823
