year,roe,debt_equity,opm,intrinsic_value,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,roce_percent
2014-03-01,0.3304695818188493,0.0088849726475015,0.3704752733246473,143.5,76,23,72,27,27,25.182790412288725
2015-03-01,0.3081358709352155,0.0084761784723972,0.3671587191179122,164.0,38,55,63,30,12,26.27269364694976
2016-03-01,0.2226101218369259,0.0019681349578256,0.3707644417228006,164.0,84,47,68,63,31,27.022576314372667
2017-03-01,0.2257341693060134,0.0009911016310085,0.3617190422745978,173.63500000000002,69,21,83,7,26,22.35723696042756
2018-03-01,0.2188725956960578,0.0006855836983431,0.3802389007802251,184.5,32,51,86,-3,16,11.928954280525435
2019-03-01,0.2170406317106575,0.0002198136656465,0.3834712453454696,205.0,87,28,85,30,44,13.541059366427472
2020-03-01,0.2388889740015014,0.0042437148591301,0.3916740908722766,246.0,71,37,67,41,21,28.93063288597225
2021-03-01,0.2217674449434106,0.0044906954778199,0.3464482205574842,225.5,88,58,84,62,32,11.42430224292638
2022-03-01,0.2482267232407333,0.0039868705467936,0.3400610108005606,253.585,66,30,73,23,31,17.440373951660142
2023-03-01,0.2816426867182416,0.0044248427445593,0.3624416587938352,307.5,76,55,99,32,21,16.88468303886594
2024-03-01,0.2785107439569436,0.0040667319849141,0.3707825472531355,335.995,88,43,61,70,20,16.802675572120542
2025-03-01,0.5005283449950021,0.0040696844209624,0.3430426297412477,569.285,41,31,73,-1,14,24.00239518695404
