year,sales,operating_profit,net_profit,eps_in_rs,equity_capital,reserves,borrowings,total_assets
2014-03-01,433521,34935,22548,16.0,2940,195747,138761,428843
2015-03-01,374372,37449,23640,17.0,2943,215556,168251,504486
2016-03-01,272583,41781,29861,22.0,2948,228608,194714,598997
2017-03-01,303954,46307,29833,21.55,2959,260750,217475,706802
2018-03-01,390823,64315,36080,27.0,5922,287584,239843,811273
2019-03-01,568337,84250,39837,29.0,5926,381186,307714,997630
2020-03-01,596679,89266,39880,29.0,6339,442827,355133,1163015
2021-03-01,466307,80790,53739,39.0,6445,693727,278962,1320065
2022-03-01,694673,108581,67845,44.87,6765,772720,319158,1498622
2023-03-01,876396,142318,74088,49.0,6766,709106,451664,1605882
2024-03-01,899041,162498,79020,51.45,6766,786715,350719,1755048
2025-03-01,962820,165598,81309,51.47,13532,829668,374313,1949713
