date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2026-01-09,1466.95,1480.0,1465.0,1475.3,234309,9032,344942883.0
2026-01-08,1503.75,1503.75,1468.45,1470.3,2168603,43298,3205025907.0
2026-01-07,1510.0,1519.95,1498.2,1504.1,710599,42333,1071538918.0
2026-01-06,1575.55,1575.55,1497.05,1507.7,956028,36338,1449102048.0
2026-01-05,1592.5,1611.2,1575.0,1577.45,489517,19453,779554065.0
2026-01-02,1579.95,1594.45,1578.0,1592.45,381201,8881,605273365.0
2026-01-01,1571.35,1592.9,1571.0,1574.9,871193,34633,1373984266.0
2025-12-31,1540.05,1576.5,1540.05,1569.4,437555,24198,684987368.0
2025-12-30,1543.35,1553.6,1538.0,1540.8,232715,7473,359252951.0
2025-12-29,1558.95,1558.95,1543.15,1545.3,167579,11621,259391293.0
2025-12-26,1555.0,1561.0,1554.8,1559.0,113233,4590,176372411.0
2025-12-24,1571.05,1575.0,1553.85,1557.95,712435,36110,1111178317.0
2025-12-23,1576.05,1580.0,1568.05,1570.9,464178,17115,730125917.0
2025-12-22,1568.2,1577.0,1565.6,1575.45,382704,12823,601607103.0
2025-12-19,1552.8,1573.9,1551.05,1565.1,256444,8279,401945599.0
2025-12-18,1539.95,1551.0,1536.0,1544.35,1018167,32627,1572456324.0
2025-12-17,1550.0,1550.0,1539.3,1544.6,240805,7266,371626427.0
2025-12-16,1548.0,1551.55,1539.4,1541.8,126933,5220,195952710.0
2025-12-15,1555.95,1557.95,1547.0,1556.05,162363,7605,252258849.0
2025-12-12,1549.05,1559.5,1546.6,1556.0,102402,5565,159175013.0
2025-12-11,1536.3,1549.95,1523.75,1544.9,1127154,35283,1736198829.0
2025-12-10,1532.0,1547.5,1530.9,1535.3,1143477,29925,1762724438.0
2025-12-09,1540.0,1542.95,1520.35,1528.8,817126,14195,1248886354.0
2025-12-08,1533.05,1550.8,1533.05,1542.55,1730253,18385,2668875596.0
2025-12-05,1531.8,1546.0,1520.45,1540.9,308198,11387,472723811.0
2025-12-04,1536.05,1560.1,1518.0,1538.4,1432313,39735,2209060914.0
2025-12-03,1546.4,1552.0,1533.1,1539.0,420895,13854,647732798.0
2025-12-02,1560.05,1567.0,1542.25,1546.4,110289,5768,171202427.0
2025-12-01,1575.0,1579.95,1563.75,1565.9,162025,16818,254567212.0
2025-11-28,1568.0,1580.9,1562.35,1566.85,479141,14771,753087737.0
2025-11-27,1575.25,1575.25,1556.0,1563.55,1112784,34718,1739358331.0
2025-11-26,1545.0,1571.8,1541.0,1569.75,485790,23053,758975767.0
2025-11-25,1535.0,1560.0,1525.0,1539.1,229673,8859,355410138.0
2025-11-24,1548.1,1550.0,1532.9,1535.75,236624,10734,363817480.0
2025-11-21,1541.0,1557.95,1539.0,1545.95,514303,15181,796662967.0
2025-11-20,1530.0,1550.9,1526.8,1549.1,1873543,29919,2891687364.0
2025-11-19,1514.0,1522.2,1511.7,1518.65,289954,13122,439953573.0
2025-11-18,1523.65,1527.8,1510.05,1519.65,155896,5139,237122783.0
2025-11-17,1518.85,1523.5,1511.45,1517.9,214052,10413,324799272.0
2025-11-14,1506.8,1520.7,1506.0,1518.85,283160,8575,429075566.0
2025-11-13,1512.5,1522.0,1505.6,1510.6,1136211,38696,1718864153.0
2025-11-12,1500.0,1524.0,1500.0,1511.75,854483,33310,1293520366.0
2025-11-11,1496.0,1498.7,1480.25,1493.9,214867,5470,319576557.0
2025-11-10,1473.15,1500.0,1473.15,1489.25,408088,15104,609150597.0
2025-11-07,1497.65,1498.5,1476.25,1478.25,378528,13212,563587301.0
2025-11-06,1483.1,1501.95,1477.55,1495.75,1178418,27351,1761930849.0
2025-11-04,1484.3,1492.7,1470.3,1471.85,265941,9660,394108621.0
2025-11-03,1486.0,1495.0,1479.15,1484.35,548207,15449,815575142.0
2025-10-31,1491.0,1497.8,1482.0,1486.5,268477,7097,399216975.0
2025-10-30,1500.0,1503.25,1484.0,1488.45,772640,20787,1152105894.0
2025-10-29,1489.0,1508.0,1488.7,1504.05,750041,25505,1126265777.0
2025-10-28,1480.15,1492.1,1478.0,1487.15,1341632,16397,1993179096.0
2025-10-27,1461.25,1484.95,1458.7,1484.0,393023,18389,581628292.0
2025-10-24,1450.0,1459.95,1441.1,1451.45,331591,13990,480726361.0
2025-10-23,1475.0,1482.5,1444.8,1448.05,1083554,29444,1581129997.0
2025-10-21,1466.05,1473.95,1460.2,1465.15,303848,18179,445914311.0
2025-10-20,1440.0,1473.55,1435.0,1466.8,1742719,58109,2546488290.0
2025-10-17,1400.0,1423.45,1399.5,1416.95,970166,22949,1373047375.0
2025-10-16,1374.8,1400.45,1374.8,1398.05,1163237,38559,1618201221.0
2025-10-15,1380.15,1383.6,1372.7,1374.75,631457,16461,869753169.0
2025-10-14,1377.25,1387.95,1370.4,1375.65,548000,22103,754806794.0
2025-10-13,1376.0,1377.65,1367.85,1375.1,574423,17938,788132423.0
2025-10-10,1377.95,1387.75,1375.55,1381.95,498516,15359,689512009.0
2025-10-09,1371.2,1380.15,1369.5,1377.95,970820,20067,1337020377.0
2025-10-08,1384.2,1389.7,1364.9,1367.35,596052,16421,818842935.0
2025-10-07,1376.1,1395.75,1375.95,1384.95,865638,20065,1199162511.0
2025-10-06,1362.2,1377.2,1358.6,1375.1,674892,43236,923504404.0
2025-10-03,1363.0,1371.0,1357.2,1363.45,869282,19345,1184450099.0
2025-10-01,1364.25,1378.2,1363.05,1368.8,1254860,20018,1719357018.0
2025-09-30,1374.65,1376.05,1362.9,1363.8,1226892,14778,1677022112.0
2025-09-29,1380.1,1388.4,1368.25,1374.0,477774,13576,659134287.0
2025-09-26,1372.4,1382.4,1365.55,1377.75,792106,16820,1089996516.0
2025-09-25,1381.0,1384.85,1369.0,1372.45,997953,36532,1372387260.0
2025-09-24,1389.0,1396.0,1380.2,1383.75,604734,28198,840094090.0
2025-09-23,1390.0,1394.9,1377.0,1390.35,494335,40138,685056779.0
2025-09-22,1402.7,1410.45,1388.0,1390.4,705990,19713,990073436.0
2025-09-19,1415.0,1416.0,1403.55,1407.65,299536,10659,422247999.0
2025-09-18,1420.0,1421.8,1410.7,1414.55,697229,21324,986405352.0
2025-09-17,1409.95,1415.9,1407.0,1413.65,602241,13544,850513338.0
2025-09-16,1402.05,1407.7,1398.0,1405.15,845958,126958,1187029201.0
2025-09-15,1395.0,1400.95,1388.35,1399.3,304016,8339,424144905.0
2025-09-12,1383.5,1396.1,1380.8,1394.8,505338,52331,703576916.0
2025-09-11,1376.65,1385.45,1374.6,1383.5,897550,29923,1241216832.0
2025-09-10,1382.2,1388.65,1373.7,1376.8,429951,20905,593621568.0
2025-09-09,1378.85,1381.3,1369.0,1376.35,271853,10471,373891364.0
2025-09-08,1384.0,1385.9,1372.45,1378.85,249868,7071,344606187.0
2025-09-05,1365.9,1380.8,1359.35,1374.3,371445,7180,509343627.0
2025-09-04,1370.0,1374.45,1356.6,1359.2,838446,28070,1141960874.0
2025-09-03,1369.9,1376.45,1361.15,1371.55,308664,18347,422483631.0
2025-09-02,1357.75,1384.65,1355.0,1366.3,466421,13420,641722516.0
2025-09-01,1357.85,1363.2,1341.7,1353.85,314139,14680,425332741.0
2025-08-29,1384.2,1403.0,1350.3,1357.05,870452,31867,1195703493.0
2025-08-28,1387.05,1392.8,1367.0,1387.65,422516,17734,582869288.0
2025-08-26,1409.95,1409.95,1381.4,1385.3,1696762,42701,2361793958.0
2025-08-25,1413.05,1419.0,1405.55,1412.9,767068,82816,1083221105.0
2025-08-22,1423.6,1423.6,1408.0,1409.3,334227,8855,472646690.0
2025-08-21,1424.0,1431.8,1421.0,1424.65,1253962,33914,1789619340.0
2025-08-20,1414.95,1424.6,1410.2,1412.45,429887,12064,610177092.0
2025-08-19,1389.7,1421.8,1389.7,1419.95,1318445,31527,1866187831.0
2025-08-18,1388.3,1395.0,1377.15,1380.95,422415,12712,584034122.0
2025-08-14,1379.8,1380.75,1369.95,1373.75,447771,15360,615835034.0
2025-08-13,1389.8,1391.7,1377.7,1382.65,369167,11339,510933485.0
2025-08-12,1384.65,1401.25,1375.1,1380.4,635905,19225,881322367.0
2025-08-11,1370.0,1388.2,1361.2,1386.8,901134,17330,1238622982.0
2025-08-08,1387.95,1396.75,1365.5,1367.95,938688,18124,1296884312.0
2025-08-07,1385.1,1393.9,1366.25,1390.85,642904,20003,887379852.0
2025-08-06,1391.9,1395.95,1383.35,1392.95,134523,7591,186958685.0
2025-08-05,1411.0,1411.0,1388.1,1391.6,854494,17703,1189726839.0
2025-08-04,1406.85,1416.0,1391.55,1411.3,275044,21829,388060765.0
2025-08-01,1387.95,1405.25,1384.3,1393.6,421543,21680,589272024.0
2025-07-31,1389.65,1402.4,1384.05,1390.3,527880,31437,734573854.0
2025-07-30,1417.95,1423.25,1401.35,1409.9,317685,16805,448640032.0
2025-07-29,1383.5,1420.95,1383.5,1417.95,1026138,25630,1443878246.0
2025-07-28,1392.1,1407.1,1385.0,1387.3,534884,29286,745831638.0
2025-07-25,1401.95,1401.95,1384.5,1392.1,385434,20076,537654656.0
2025-07-24,1420.0,1422.05,1396.45,1402.65,332776,14129,468094441.0
2025-07-23,1426.9,1426.9,1414.85,1424.5,462898,18751,657346579.0
2025-07-22,1433.2,1433.2,1410.45,1412.8,1522399,36400,2153552964.0
2025-07-21,1474.95,1474.95,1423.05,1428.2,1557147,61048,2230363919.0
2025-07-18,1482.1,1485.05,1469.0,1476.85,357136,14755,526686473.0
2025-07-17,1490.25,1490.35,1474.0,1477.1,186828,8830,276655981.0
2025-07-16,1472.0,1490.9,1472.0,1485.75,130747,6481,193683346.0
2025-07-15,1485.1,1496.05,1482.2,1484.9,892769,15808,1327012252.0
2025-07-14,1494.45,1499.95,1479.35,1484.6,2020839,8863,3018529337.0
2025-07-11,1512.2,1513.95,1490.1,1494.85,344599,14553,515648974.0
2025-07-10,1519.05,1524.85,1507.4,1517.2,458958,15436,695150098.0
2025-07-09,1531.05,1551.0,1510.0,1519.05,548141,16128,839103656.0
2025-07-08,1535.0,1545.6,1530.25,1538.8,1461338,14287,2247757714.0
2025-07-07,1525.25,1544.5,1525.25,1541.2,392104,15061,602904569.0
2025-07-04,1521.0,1529.5,1517.25,1527.4,487883,14945,743017189.0
2025-07-03,1518.75,1531.7,1512.7,1518.95,168578,5842,256648382.0
2025-07-02,1529.9,1530.0,1508.95,1518.25,284423,7315,431632527.0
2025-07-01,1500.65,1531.2,1500.65,1528.3,2842857,37925,4317381512.0
2025-06-30,1516.05,1524.95,1496.4,1500.65,439730,15179,664787953.0
2025-06-27,1498.05,1521.7,1497.1,1516.05,340711,8644,514721813.0
2025-06-26,1469.95,1498.7,1465.1,1495.2,366253,8461,544753832.0
2025-06-25,1462.05,1472.0,1460.15,1467.25,143268,4881,210188962.0
2025-06-24,1466.75,1475.0,1443.3,1450.05,3665221,36308,5322587818.0
2025-06-23,1442.7,1463.0,1442.0,1456.35,289434,9132,420442877.0
2025-06-20,1430.0,1470.0,1428.1,1464.65,690290,22662,1005534478.0
2025-06-19,1430.0,1439.85,1426.0,1433.65,702530,7235,1006669552.0
