year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,184852,126597.690490584,58254.309509415994,31.51402717277389,2586,1912,7417,51511.309509415994,25.0,38633.482132061996,386.33482132061994,22.038315797774445
2015-03-01,53997,39056.99949763188,14940.000502368122,27.66820471946242,2946,909,4970,12007.000502368122,25.0,9005.250376776092,90.05250376776092,41.32431368582221
2016-03-01,155969,100395.34769584461,55573.65230415539,35.631216654691244,1368,1191,3939,51811.65230415539,25.0,38858.73922811654,388.58739228116536,11.76682183924068
2017-03-01,98946,60610.05704623469,38335.94295376531,38.74430795966013,4309,624,4370,37650.94295376531,25.0,28238.207215323986,282.38207215323985,41.445643665525694
2018-03-01,84836,52682.901607671796,32153.098392328204,37.900299863652464,4299,780,6748,28924.098392328204,25.0,21693.073794246153,216.93073794246152,28.776473800052685
2019-03-01,136311,102885.06199060084,33425.938009399164,24.521819962731666,1530,1737,5649,27569.938009399164,25.0,20677.453507049373,206.77453507049373,10.989966900678185
2020-03-01,119821,91730.71453022322,28090.285469776776,23.443541173731465,1930,2078,4620,23322.285469776776,25.0,17491.714102332582,174.91714102332583,18.702160133770434
2021-03-01,54760,36218.02944120504,18541.970558794957,33.86042833965478,3639,2281,5336,14563.970558794957,25.0,10922.977919096218,109.22977919096218,36.191074238641136
2022-03-01,119275,81609.34998825901,37665.65001174099,31.578830443714935,3185,2670,6302,31878.65001174099,25.0,23908.98750880574,239.08987508805743,44.02648525714673
2023-03-01,52063,38306.3742724683,13756.625727531697,26.423036950486328,4069,2920,5639,9266.625727531697,25.0,6949.9692956487725,69.49969295648772,27.27138387492043
2024-03-01,61536,41478.07302661798,20057.92697338202,32.59543514915175,4850,1768,2036,21103.92697338202,25.0,15827.945230036514,158.27945230036514,35.485219581109696
2025-03-01,68579,50581.5215383842,17997.4784616158,26.24342504500766,2428,1202,5980,13243.4784616158,25.0,9932.60884621185,99.32608846211849,45.83425053558527
