year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,24443,-29673,-7331,-12561
2015-03-01,17327,-12722,-337,4268
2016-03-01,27648,-21114,956,7490
2017-03-01,16024,-3777,8707,20954
2018-03-01,37003,-28578,8735,17160
2019-03-01,15382,-14935,-8457,-8010
2020-03-01,7982,-16947,4674,-4291
2021-03-01,25325,-23584,-7103,-5362
2022-03-01,14223,-13102,9265,10386
2023-03-01,9109,-15619,9733,3223
2024-03-01,27817,-15372,-307,12138
2025-03-01,20581,-22952,-5769,-8140
