year,sales,operating_profit,net_profit,eps_in_rs,equity_capital,reserves,borrowings,total_assets
2014-03-01,81809,25153,19332,48.92,196,48999,297,66829
2015-03-01,94648,24482,20060,50.68,196,50439,358,73318
2016-03-01,108646,30677,24338,61.58,197,70875,245,88291
2017-03-01,117966,32311,26357,66.71,197,86017,289,102333
2018-03-01,123104,32516,25880,67.46,191,84937,247,105126
2019-03-01,146463,39506,31562,83.87,375,89071,62,113901
2020-03-01,156949,42109,32447,86.19,375,83751,8174,120127
2021-03-01,164177,46546,32562,87.67,370,86063,7795,129992
2022-03-01,191754,53057,38449,104.75,366,88773,7818,140924
2023-03-01,225458,59259,42303,115.19,366,90058,7688,142859
2024-03-01,240893,64296,46099,126.88,362,90127,8021,145472
2025-03-01,255324,67407,48797,134.2,362,94394,9392,158649
