Year,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets
Mar 2014,"35,306","22,227","13,080",37%,966,29,965,"13,052",31%,"9,001",7,54%,795,"26,442",242,"13,369","40,848","12,921","3,117","7,284","17,526","40,848"
Mar 2015,"38,817","24,566","14,252",37%,"1,229",91,"1,028","14,362",32%,"9,779",8,52%,802,"30,934",269,"13,948","45,952","15,303","2,700","6,943","21,006","45,952"
Mar 2016,"39,192","24,661","14,531",37%,"1,483",78,"1,077","14,859",36%,"9,501",8,73%,805,"41,875",84,"8,888","51,651","15,107","2,560","11,748","22,237","51,651"
Mar 2017,"42,768","27,298","15,470",36%,"1,759",49,"1,153","16,026",35%,"10,477",8.47,56%,"1,215","45,198",46,"9,440","55,898","15,893","3,730","17,581","18,694","55,898"
Mar 2018,"43,449","26,928","16,521",38%,"2,240",115,"1,236","17,409",34%,"11,493",9,56%,"1,220","51,290",36,"11,695","64,241","16,524","5,508","22,053","20,156","64,241"
Mar 2019,"48,340","29,802","18,537",38%,"2,080",71,"1,397","19,150",33%,"12,836",10,56%,"1,226","57,915",13,"12,585","71,739","19,374","4,136","25,043","23,185","71,739"
Mar 2020,"49,388","30,044","19,344",39%,"2,417",81,"1,645","20,035",22%,"15,593",12,82%,"1,229","64,044",277,"11,760","77,311","21,713","3,256","28,663","23,678","77,311"
Mar 2021,"49,257","32,193","17,065",35%,"2,577",58,"1,646","17,938",25%,"13,383",11,101%,"1,231","59,116",271,"13,143","73,761","23,298","4,011","24,871","21,580","73,761"
Mar 2022,"60,645","40,021","20,623",34%,"1,910",60,"1,732","20,740",25%,"15,503",12.37,93%,"1,232","61,223",249,"14,491","77,196","24,232","3,226","24,841","24,898","77,196"
Mar 2023,"70,919","45,215","25,704",36%,"2,098",78,"1,809","25,915",25%,"19,477",15,100%,"1,243","67,912",306,"16,370","85,831","25,851","3,003","29,415","27,561","85,831"
Mar 2024,"67,932","42,744","25,188",37%,"3,330",39,"1,518","26,961",23%,"20,751",16.39,84%,"1,248","73,259",303,"16,944","91,754","27,820","2,861","31,114","29,959","91,754"
Mar 2025,"75,323","49,484","25,839",34%,"17,795",45,"1,646","41,943",16%,"35,052",27.77,52%,"1,251","68,779",285,"17,688","88,003","21,955","1,091","34,720","30,237","88,003"
TTM,"78,552","52,159","26,392",34%,"17,684",57,"1,685","42,335",,"35,351",28,,"1,253","69,819",363,"19,368","90,803","22,400","1,305","32,548","34,550","90,803"
