Year,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets
Mar 2014,"433,521","398,586","34,935",8%,"8,865","3,836","11,201","28,763",22%,"22,548",16,12%,"2,940","195,747","138,761","91,395","428,843","141,417","91,494","60,602","135,330","428,843"
Mar 2015,"374,372","336,923","37,449",10%,"8,528","3,316","11,547","31,114",24%,"23,640",17,12%,"2,943","215,556","168,251","117,736","504,486","156,458","166,462","76,451","105,115","504,486"
Mar 2016,"272,583","230,802","41,781",15%,"12,212","3,691","11,565","38,737",23%,"29,861",22,10%,"2,948","228,608","194,714","172,727","598,997","184,910","228,697","84,015","101,375","598,997"
Mar 2017,"303,954","257,647","46,307",15%,"9,222","3,849","11,646","40,034",25%,"29,833",21.55,11%,"2,959","260,750","217,475","225,618","706,802","198,526","324,837","82,899","100,540","706,802"
Mar 2018,"390,823","326,508","64,315",16%,"9,869","8,052","16,706","49,426",27%,"36,080",27,10%,"5,922","287,584","239,843","277,924","811,273","403,885","187,022","82,862","137,504","811,273"
Mar 2019,"568,337","484,087","84,250",15%,"8,406","16,495","20,934","55,227",28%,"39,837",29,10%,"5,926","381,186","307,714","302,804","997,630","398,374","179,463","235,635","184,158","997,630"
Mar 2020,"596,679","507,413","89,266",15%,"8,570","22,027","22,203","53,606",26%,"39,880",29,10%,"6,339","442,827","355,133","358,716","1,163,015","532,658","109,106","276,767","244,484","1,163,015"
Mar 2021,"466,307","385,517","80,790",17%,"22,432","21,189","26,572","55,461",3%,"53,739",39,9%,"6,445","693,727","278,962","340,931","1,320,065","541,258","125,953","364,828","288,026","1,320,065"
Mar 2022,"694,673","586,092","108,581",16%,"19,600","14,584","29,782","83,815",19%,"67,845",44.87,9%,"6,765","772,720","319,158","399,979","1,498,622","627,798","172,506","394,264","304,054","1,498,622"
Mar 2023,"876,396","734,078","142,318",16%,"12,020","19,571","40,303","94,464",22%,"74,088",49,9%,"6,766","709,106","451,664","438,346","1,605,882","724,805","293,752","235,560","351,765","1,605,882"
Mar 2024,"899,041","736,543","162,498",18%,"15,792","23,118","50,832","104,340",25%,"79,020",51.45,10%,"6,766","786,715","350,719","610,848","1,755,048","779,985","338,855","225,672","410,536","1,755,048"
Mar 2025,"962,820","797,222","165,598",17%,"17,824","24,269","53,136","106,017",24%,"81,309",51.47,11%,"13,532","829,668","374,313","732,200","1,949,713","999,393","262,358","242,381","445,581","1,949,713"
TTM,"999,629","823,218","176,411",18%,"28,720","26,197","54,918","124,016",,"97,416",61,,"13,532","863,748","374,593","787,073","2,038,946","1,096,375","217,097","256,335","469,139","2,038,946"
