Year,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets
Mar 2014,"81,809","56,657","25,153",31%,"1,637",39,"1,349","25,402",24%,"19,332",48.92,33%,196,"48,999",297,"17,337","66,829","9,544",3168,"3,434","50,682","66,829"
Mar 2015,"94,648","70,167","24,482",26%,"3,720",104,"1,799","26,298",24%,"20,060",50.68,78%,196,"50,439",358,"22,325","73,318","11,638",2766,"1,662","57,252","73,318"
Mar 2016,"108,646","77,969","30,677",28%,"3,084",33,"1,888","31,840",24%,"24,338",61.58,35%,197,"70,875",245,"16,974","88,291","11,774",1670,"22,822","52,025","88,291"
Mar 2017,"117,966","85,655","32,311",27%,"4,221",32,"1,987","34,513",24%,"26,357",66.71,35%,197,"86,017",289,"15,830","102,333","11,701",1541,"41,980","47,111","102,333"
Mar 2018,"123,104","90,588","32,516",26%,"3,642",52,"2,014","34,092",24%,"25,880",67.46,37%,191,"84,937",247,"19,751","105,126","11,973",1278,"36,008","55,867","105,126"
Mar 2019,"146,463","106,957","39,506",27%,"4,311",198,"2,056","41,563",24%,"31,562",83.87,36%,375,"89,071",62,"24,393","113,901","12,290",963,"29,330","71,318","113,901"
Mar 2020,"156,949","114,840","42,109",27%,"4,592",924,"3,529","42,248",23%,"32,447",86.19,85%,375,"83,751","8,174","27,827","120,127","20,928",906,"26,356","71,937","120,127"
Mar 2021,"164,177","117,631","46,546",28%,"1,916",637,"4,065","43,760",26%,"32,562",87.67,43%,370,"86,063","7,795","35,764","129,992","21,021",926,"29,373","78,672","129,992"
Mar 2022,"191,754","138,697","53,057",28%,"4,018",784,"4,604","51,687",26%,"38,449",104.75,41%,366,"88,773","7,818","43,967","140,924","21,298",1205,"30,485","87,936","140,924"
Mar 2023,"225,458","166,199","59,259",26%,"3,449",779,"5,022","56,907",26%,"42,303",115.19,100%,366,"90,058","7,688","44,747","142,859","20,515",1234,"37,163","83,947","142,859"
Mar 2024,"240,893","176,597","64,296",27%,"3,464",778,"4,985","61,997",26%,"46,099",126.88,58%,362,"90,127","8,021","46,962","145,472","19,604",1564,"31,762","92,542","145,472"
Mar 2025,"255,324","187,917","67,407",26%,"3,962",796,"5,242","65,331",25%,"48,797",134.2,94%,362,"94,394","9,392","54,501","158,649","23,053",1546,"30,964","103,086","158,649"
TTM,"260,802","190,700","70,102",27%,147,"1,189","5,533","63,527",,"47,963",131.88,,362,"106,053","10,932","57,872","175,219","24,149",2221,"39,062","109,787","175,219"
