year,sales,operating_profit,net_profit,eps_in_rs,equity_capital,reserves,borrowings,total_assets
Mar 2014,85864,26512,3019,5.04,1999,57757,75896,181492
Mar 2015,96101,33602,5048,8.41,1999,37778,83415,181939
Mar 2016,96532,33984,6893,11.05,1999,64771,100646,224472
Mar 2017,95468,35330,4241,6.91,1999,65458,107288,232322
Mar 2018,82639,30079,2184,2.0,1999,67536,111334,249521
Mar 2019,80780,25764,1688,0.74,1999,69424,125428,274026
Mar 2020,87539,36610,-30664,-55.06,2728,74417,148228,359091
Mar 2021,100616,45279,-12364,-25.63,2746,56207,162785,344417
Mar 2022,116547,57534,8305,7.23,2795,63759,169678,361207
Mar 2023,139145,71274,12287,14.97,2837,74726,226020,444557
Mar 2024,149982,77893,8558,13.2,2877,79142,215592,442019
Mar 2025,172985,85060,37481,58.85,2900,110772,213642,505006
