year,sales,operating_profit,net_profit,eps_in_rs,equity_capital,reserves,borrowings,total_assets
Mar 2014,50133,13390,10656,23.0,286,44244,0,56966
Mar 2015,53319,14883,12372,27.0,572,50164,0,66289
Mar 2016,62441,17079,13489,29.0,1144,60600,0,75098
Mar 2017,68484,18604,14353,31.24,1144,67838,0,83148
Mar 2018,70522,18822,16029,37.0,1088,63835,0,79349
Mar 2019,82675,20170,15410,35.0,2170,62778,0,84066
Mar 2020,90791,22267,16639,39.0,2122,63328,4633,91800
Mar 2021,100472,27889,19423,45.0,2124,74227,5325,107511
Mar 2022,121641,31491,22146,52.56,2098,73252,5474,116729
Mar 2023,146767,35130,24108,58.0,2069,73338,8299,124596
Mar 2024,153670,36425,26248,63.2,2071,86045,8359,137360
Mar 2025,162990,39236,26750,64.32,2073,93745,8227,147795
