year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,17570,-8512,7573,16631
2015-03-01,36184,-8345,5457,33296
2016-03-01,15387,-9509,1618,7496
2017-03-01,26235,-24389,-2454,-608
2018-03-01,13957,-23994,-3254,-13291
2019-03-01,26421,-4177,9898,32142
2020-03-01,13028,-12327,-9614,-8913
2021-03-01,31803,-17914,5995,19884
2022-03-01,26557,-11006,6272,21823
2023-03-01,5427,-22817,2422,-14968
2024-03-01,8827,-19415,-8108,-18696
2025-03-01,25019,-29752,3442,-1291
