date,open_price,high_price,low_price,close_price,no_of_shares,no_of_trades,total_turnover
2026-01-09,1656.45,1666.9,1602.2,1615.1,145349,6692,234814334.0
2026-01-08,1677.9,1679.85,1640.2,1659.6,14737,1739,24451258.0
2026-01-07,1678.45,1680.3,1660.75,1671.95,657,351,1097711.0
2026-01-06,1694.35,1709.4,1671.0,1692.5,3871,545,6534180.0
2026-01-05,1656.0,1700.0,1656.0,1694.05,1527,108,2585316.0
2026-01-02,1689.7,1721.1,1683.25,1691.8,4322,531,7325438.0
2026-01-01,1694.85,1718.4,1692.5,1697.3,1500,235,2553069.0
2025-12-31,1660.2,1703.65,1660.2,1692.8,1422,67,2406377.0
2025-12-30,1664.8,1685.0,1664.55,1682.9,101294,74,169822095.0
2025-12-29,1683.0,1698.9,1660.25,1664.8,1076,132,1803547.0
2025-12-26,1701.85,1718.2,1680.4,1693.9,2382,132,4028190.0
2025-12-24,1703.2,1738.4,1686.15,1704.1,2446,174,4189593.0
2025-12-23,1725.2,1729.0,1694.0,1702.45,12391,728,21076043.0
2025-12-22,1660.0,1729.0,1660.0,1725.2,8019,993,13782331.0
2025-12-19,1616.0,1688.0,1616.0,1671.45,27019,1939,44876753.0
2025-12-18,1576.9,1581.75,1516.4,1535.1,1146,191,1776411.0
2025-12-17,1596.8,1596.8,1550.0,1570.05,12065,1333,18953581.0
2025-12-16,1560.45,1578.0,1560.45,1571.35,706,80,1108998.0
2025-12-15,1561.05,1563.95,1511.85,1552.4,1049,71,1625120.0
2025-12-12,1546.2,1569.8,1388.2,1561.05,1474,158,2279673.0
2025-12-11,1542.1,1547.8,1500.2,1541.5,6209,147,9568204.0
2025-12-10,1560.05,1578.4,1481.2,1529.1,753,60,1157097.0
2025-12-09,1572.35,1577.3,1564.3,1573.5,60967,50,95930225.0
2025-12-08,1589.25,1599.2,1570.0,1574.15,150,25,237398.0
2025-12-05,1575.4,1590.45,1575.0,1583.8,175,18,276674.0
2025-12-04,1571.0,1599.0,1559.85,1595.1,224,34,352276.0
2025-12-03,1583.5,1583.5,1560.1,1571.0,183,31,287702.0
2025-12-02,1597.4,1597.4,1586.65,1586.65,718,61,1143830.0
2025-12-01,1599.55,1614.15,1571.6,1578.5,431,78,681735.0
2025-11-28,1596.45,1600.55,1590.0,1591.6,428,38,682427.0
2025-11-27,1599.35,1618.85,1588.0,1604.45,791,146,1265746.0
2025-11-26,1601.1,1620.95,1588.25,1611.45,1382,170,2223532.0
2025-11-25,1610.9,1639.55,1610.9,1627.95,256,43,415393.0
2025-11-24,1641.0,1641.25,1619.0,1622.0,476,78,772368.0
2025-11-21,1636.6,1644.4,1624.85,1625.05,187,21,305621.0
2025-11-20,1628.25,1639.95,1612.2,1627.55,453,53,737317.0
2025-11-19,1617.35,1631.75,1617.35,1628.25,756,69,1227554.0
2025-11-18,1604.8,1637.7,1592.85,1617.6,28367,181,46199355.0
2025-11-17,1580.9,1600.05,1580.9,1591.0,427,46,680546.0
2025-11-14,1593.85,1593.85,1570.75,1583.85,325,47,512686.0
2025-11-13,1560.15,1593.85,1560.15,1580.4,2552,313,4044514.0
2025-11-12,1544.5,1572.75,1544.5,1566.25,718,92,1122294.0
