year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,2236,26405,36425,25307,90373,92448,4497,26333,-32905,90373
2015-03-01,4260,83040,46909,11474,145683,46985,5537,19025,74136,145683
2016-03-01,4933,26157,44252,14264,89606,104507,7290,9289,-31480,89606
2017-03-01,1950,80392,46829,38536,167707,140210,4223,14510,8764,167707
2018-03-01,4118,29962,27837,27769,89686,73455,4094,18755,-6618,89686
2019-03-01,3047,22063,29429,32365,86904,43688,7376,9443,26397,86904
2020-03-01,1095,28211,5954,18052,53312,62073,7947,14965,-31673,53312
2021-03-01,2467,85584,8770,30158,126979,136791,7030,24088,-40930,126979
2022-03-01,1778,55016,31786,19923,108503,39040,6890,10224,52349,108503
2023-03-01,3767,49403,14527,31457,99154,141245,1678,25292,-69061,99154
2024-03-01,3258,66986,18902,25108,114254,75614,6521,13929,18190,114254
2025-03-01,3884,25953,29489,19932,79258,98186,5573,23797,-48298,79258
