year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,34491,-19025,7913,23379
2015-03-01,37054,-24433,-5182,7439
2016-03-01,5411,-19265,-9481,-23335
2017-03-01,5095,-4043,-8540,-7488
2018-03-01,25964,-3170,4823,27617
2019-03-01,37589,-6016,6011,37584
2020-03-01,7966,-11321,-6213,-9568
2021-03-01,29340,-6268,-9610,13462
2022-03-01,26495,-8541,-6267,11687
2023-03-01,9787,-22113,-2459,-14785
2024-03-01,12236,-15375,-9408,-12547
2025-03-01,23759,-15996,628,8391
