year,sales,operating_profit,net_profit,eps_in_rs,equity_capital,reserves,borrowings,total_assets
2014-03-01,50133,13390,10656,23.0,286,44244,0,56966
2015-03-01,53319,14883,12372,27.0,572,50164,0,66289
2016-03-01,62441,17079,13489,29.0,1144,60600,0,75098
2017-03-01,68484,18604,14353,31.24,1144,67838,0,83148
2018-03-01,70522,18822,16029,37.0,1088,63835,0,79349
2019-03-01,82675,20170,15410,35.0,2170,62778,0,84066
2020-03-01,90791,22267,16639,39.0,2122,63328,4633,91800
2021-03-01,100472,27889,19423,45.0,2124,74227,5325,107511
2022-03-01,121641,31491,22146,52.56,2098,73252,5474,116729
2023-03-01,146767,35130,24108,58.0,2069,73338,8299,124596
2024-03-01,153670,36425,26248,63.2,2071,86045,8359,137360
2025-03-01,162990,39236,26750,64.32,2073,93745,8227,147795
