year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,108512,77811.36062690524,30700.63937309476,28.292391047160464,4708,2016,3748,29644.63937309476,25.0,22233.47952982107,222.3347952982107,33.31063236648288
2015-03-01,175013,108797.32966504716,66215.67033495284,37.834715326834484,4848,629,5106,65328.67033495284,25.0,48996.50275121463,489.9650275121463,41.28011988792435
2016-03-01,119116,90945.38335137528,28170.616648624724,23.649733577877637,3997,1069,2892,28206.616648624724,25.0,21154.962486468543,211.54962486468543,16.983833864077642
2017-03-01,150062,116505.33094646121,33556.66905353879,22.361869796176773,4379,2245,5050,30640.66905353879,25.0,22980.501790154092,229.80501790154094,40.06563938363389
2018-03-01,148928,93057.86556234257,55870.13443765743,37.514862509170484,4323,1210,6404,52579.13443765743,25.0,39434.35082824307,394.3435082824307,27.47265183770301
2019-03-01,124548,95888.66888828459,28659.331111715408,23.01067147743473,2983,2165,2083,27394.331111715408,25.0,20545.748333786556,205.45748333786557,16.388556503334712
2020-03-01,51203,40779.03179999213,10423.968200007868,20.35812003204474,2446,1688,3193,7988.968200007868,25.0,5991.726150005901,59.91726150005901,46.71948114090635
2021-03-01,67248,46168.35864419404,21079.641355805958,31.346123833877527,2957,1561,6968,15507.641355805958,25.0,11630.731016854468,116.30731016854469,33.04631202696836
2022-03-01,56959,45512.9817991409,11446.0182008591,20.0951881192772,3726,1571,4606,8995.0182008591,25.0,6746.263650644325,67.46263650644325,29.70952650816047
2023-03-01,193239,132032.75698360679,61206.243016393215,31.673856217633716,1069,1919,5811,54545.243016393215,25.0,40908.93226229491,409.0893226229491,34.09222021974507
2024-03-01,97402,65811.79509993101,31590.204900068988,32.43280928530111,3175,1652,6195,26918.204900068988,25.0,20188.65367505174,201.8865367505174,47.209752079932244
2025-03-01,158137,125338.11448832018,32798.88551167982,20.740804183511653,2388,1283,3176,30727.885511679822,25.0,23045.914133759867,230.45914133759868,19.10591690876746
