year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,2878,28150,45190,26086,102304,140905,3927,6280,-48808,102304
2015-03-01,4604,22774,34105,23333,84816,91412,1799,17681,-26076,84816
2016-03-01,1284,40876,21728,17617,81505,118433,5467,15023,-57418,81505
2017-03-01,3230,54865,47130,16899,122124,87686,7769,20266,6403,122124
2018-03-01,2567,51597,39207,37535,130906,31409,5521,19110,74866,130906
2019-03-01,3161,91507,15121,29741,139530,70535,3772,25540,39683,139530
2020-03-01,1237,72992,34834,20622,129685,91009,3625,7094,27957,129685
2021-03-01,2427,68499,25885,36814,133625,96404,4572,15880,16769,133625
2022-03-01,4786,90380,17952,15667,128785,77413,6122,10926,34324,128785
2023-03-01,1676,87337,22949,32972,144934,71436,2079,28819,42600,144934
2024-03-01,4559,96161,37385,27981,166086,148798,3906,8276,5106,166086
2025-03-01,1895,89356,30199,10006,131456,66189,4804,23527,36936,131456
