year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow
2014-03-01,34845,-27609,9489,16725
2015-03-01,36364,-2452,-1088,32824
2016-03-01,15777,-22212,6432,-3
2017-03-01,24103,-12224,-6540,5339
2018-03-01,11878,-27107,-512,-15741
2019-03-01,20810,-13549,504,7765
2020-03-01,29058,-5355,-6321,17382
2021-03-01,38758,-21287,-2911,14560
2022-03-01,5581,-11389,8710,2902
2023-03-01,11106,-11352,4039,3793
2024-03-01,32566,-5122,-2567,24877
2025-03-01,28623,-16509,1679,13793
