year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
2014-03-01,1652,92459,37683,38015,169809,58538,4416,12008,94847,169809
2015-03-01,3093,32228,45856,32838,114015,58297,9308,22438,23972,114015
2016-03-01,4557,24969,20332,38718,88576,135065,9964,11391,-67844,88576
2017-03-01,1928,39547,39601,17971,99047,135022,5608,16778,-58361,99047
2018-03-01,3098,77049,34830,35305,150282,123032,6026,6428,14796,150282
2019-03-01,4098,64531,25944,16040,110613,62586,7895,20777,19355,110613
2020-03-01,3052,52597,17403,25980,99032,136291,2331,17507,-57097,99032
2021-03-01,3989,68245,49060,11051,132345,64613,4526,25022,38184,132345
2022-03-01,3318,34898,23213,15236,76665,124752,9693,28715,-86495,76665
2023-03-01,2501,99577,17740,18441,138259,114123,2956,11992,9188,138259
2024-03-01,4481,54863,42821,16717,118882,114394,1000,6952,-3464,118882
2025-03-01,2369,89272,7111,26263,125015,65283,3752,18456,37524,125015
