year,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps,dividend_payout
2014-03-01,146394,113402.02827748974,32991.971722510265,22.536423434369077,3033,1921,2070,32033.971722510265,25.0,24025.4787918827,240.254787918827,22.705989065692833
2015-03-01,69724,55693.87962394521,14030.120376054787,20.12236873394353,3337,836,5174,11357.120376054787,25.0,8517.84028204109,85.1784028204109,33.458226778313175
2016-03-01,177999,118786.16952174476,59212.830478255244,33.26582198678377,2672,1222,4398,56264.830478255244,25.0,42198.62285869144,421.98622858691436,18.335770658372084
2017-03-01,146075,104724.07329272432,41350.92670727568,28.308010752884254,1785,2586,6661,33888.92670727568,25.0,25416.695030456758,254.1669503045676,41.9891246631155
2018-03-01,164175,126825.16361871417,37349.83638128583,22.75001454623775,2276,595,7650,31380.83638128583,25.0,23535.627285964372,235.35627285964372,26.80875720262549
2019-03-01,160700,121653.55365030747,39046.44634969253,24.29772641549006,3212,883,6364,35011.44634969253,25.0,26258.5847622694,262.58584762269396,23.163923449014973
2020-03-01,127994,84653.19192089724,43340.80807910276,33.86159357399781,2286,2596,2179,40851.80807910276,25.0,30638.85605932707,306.3885605932707,32.99238962549923
2021-03-01,150271,120116.64396407253,30154.35603592747,20.066650275786728,4113,1428,7331,25508.35603592747,25.0,19131.267026945603,191.31267026945602,18.9253274735694
2022-03-01,163729,127731.977148352,35997.022851648,21.98573426311038,4431,1887,3868,34673.022851648,25.0,26004.767138736,260.04767138735997,35.896053427730294
2023-03-01,171279,120636.80736473009,50642.19263526991,29.56707631132241,3272,762,4234,48918.19263526991,25.0,36688.644476452435,366.88644476452436,27.889858200665266
2024-03-01,100135,72625.4238394263,27509.576160573706,27.47248830136686,3441,574,3589,26787.576160573706,25.0,20090.68212043028,200.9068212043028,11.890903489631732
2025-03-01,119592,84999.48800679746,34592.51199320254,28.92543982306721,1036,2529,3979,29120.51199320254,25.0,21840.383994901906,218.40383994901904,20.04631406468761
