username,cash_balance,stock_value,total_value
k_v_praneetha,142020.05,39068.20,181088.25
k_chandanvamsi,3004.95,172591.55,175596.50
mufeezur_rahman,171983.10,0.00,171983.10
aditya_reddy,597.10,171370.85,171967.95
rajesh,88896.75,79681.25,168578.00
s_rohan,4288.50,164026.85,168315.35
ps_rohit_naik,7590.95,157716.95,165307.90
kamil_warsi,153411.64,0.00,153411.64
b_bhargav_chandra_prasad,151650.25,0.00,151650.25
m_v_naga_bhavana,129458.40,18688.85,148147.25
faizan_shaik,15164.60,131921.75,147086.35
v_mokshith,1460.45,141015.55,142476.00
e_raghu_nandhan,140273.55,0.00,140273.55
chintha_gowtham_kumar,3258.08,134583.75,137841.83
banu_vara_prasad,76285.75,59906.25,136192.00
pravallika,124406.05,8173.60,132579.65
v_revathi,707.35,131388.90,132096.25
nishitha_chandra,4372.10,127561.55,131933.65
juweria,129271.95,0.00,129271.95
s_ayaz,129114.15,0.00,129114.15
lokesh,123901.86,4844.85,128746.71
syed_reyhaan,50870.85,74817.25,125688.10
n_varshini,61727.65,62229.80,123957.45
k_mahidhar_reddy,3804.90,119318.10,123123.00
y_purnasree,122147.14,0.00,122147.14
s_zareena_begum,120976.30,0.00,120976.30
aella_meghana,2589.75,117331.35,119921.10
mohammed_saif,115952.11,1624.20,117576.31
gireesh,25.40,117000.35,117025.75
pothu_raju_jaswanth_kumar,70136.40,44651.80,114788.20
s_ruksar_ali,113663.45,0.00,113663.45
a_c_manasa,113350.75,0.00,113350.75
a_pooja,89106.22,23666.60,112772.82
hanitha,93653.60,19022.00,112675.60
c_tharun,111170.20,0.00,111170.20
siri_keerthana,575.47,109486.75,110062.22
iqrar,101849.30,8064.05,109913.35
samdhani_khadri,62424.45,47225.75,109650.20
t_lahari,55155.15,54353.65,109508.80
vinay_kumar,12063.70,97184.05,109247.75
v_praneeth_kumar,7022.45,100596.20,107618.65
p_akshitha,626.55,106973.25,107599.80
s_kousar,107344.81,0.00,107344.81
g_hrudika,2555.72,104622.35,107178.07
kotla_omprashanth_reddy,106716.30,0.00,106716.30
paggala_prashanth,3605.95,101846.00,105451.95
sharanya,97833.29,7590.95,105424.24
m_tarun_kumar_reddy,104884.60,0.00,104884.60
kashif,52022.95,51914.10,103937.05
janozai_laiqa_khan,7686.86,94602.70,102289.56
s_shamveel,76650.00,25029.00,101679.00
p_manvitha_reddy,100154.30,1341.75,101496.05
vootla_bhargavi_pragnya,97308.17,3599.70,100907.87
s_akshaya,93561.90,7199.40,100761.30
j_sreeja,87566.60,12602.70,100169.30
yash,99910.85,102.35,100013.20
noor_basha,100000.00,0,100000.00
smd_mehtaab,100000.00,0,100000.00
g_shiva_sai,100000.00,0,100000.00
yashawardhan,100000.00,0,100000.00
siri_reddy,100000.00,0,100000.00
abdul_rehman,100000.00,0,100000.00
s_gangadhar_reddy,100000.00,0,100000.00
ushasree,100000.00,0,100000.00
n_hruthik_sai,100000.00,0,100000.00
v_sri_krishna,100000.00,0,100000.00
g_harshitha,100000.00,0,100000.00
srija_k,100000.00,0,100000.00
g_radhika,100000.00,0,100000.00
b_rohith_datta,100000.00,0,100000.00
sowmya,100000.00,0,100000.00
t_pravallika,100000.00,0,100000.00
hari_kishan_reddy,100000.00,0,100000.00
hanok_zadson,100000.00,0,100000.00
n_akshaya,100000.00,0,100000.00
m_chandana,100000.00,0,100000.00
riyaz,100000.00,0,100000.00
a_mohan,100000.00,0,100000.00
d_usha_eswari,100000.00,0,100000.00
g_sravya,100000.00,0,100000.00
k_sai_dedeepya,100000.00,0,100000.00
abubakar_siddique,100000.00,0,100000.00
d_shiva_reddy,100000.00,0,100000.00
g_bhargaveswari,100000.00,0,100000.00
md_kashif,100000.00,0,100000.00
d_sai_rakesh,100000.00,0,100000.00
bhavana,100000.00,0,100000.00
c_tejaswini,100000.00,0,100000.00
s_praneeth,100000.00,0,100000.00
sai_prasad,100000.00,0,100000.00
d_dhruthi,100000.00,0,100000.00
jhotsna,100000.00,0,100000.00
s_sami,100000.00,0,100000.00
daniel,100000.00,0,100000.00
koushik_gaja,100000.00,0,100000.00
jash,100000.00,0,100000.00
s_madhuri,100000.00,0,100000.00
s_gowreesh,100000.00,0,100000.00
shaik_naseeha_mashrath,100000.00,0,100000.00
s_swarna_rekha,91848.35,8064.05,99912.40
rachapalli_karthik_reddy,3749.70,95649.55,99399.25
j_pavani,31893.80,63582.25,95476.05
g_sailikitha,89772.60,4000.40,93773.00
ashwak,52479.35,40984.20,93463.55
n_koushika_reddy,93308.40,0.00,93308.40
t_yashwanth,4919.30,86322.40,91241.70
t_sravanthi,19.92,90311.10,90331.02
a_harshitha,42884.47,46784.20,89668.67
p_vamsika,4289.14,84026.35,88315.49
ayaz_ahmad,6116.65,81067.35,87184.00
zeeshan,1246.60,84938.50,86185.10
y_shanmitha,11188.70,74632.05,85820.75
v_madhulika,44770.40,40646.10,85416.50
s_sahas_reddy,1840.40,82991.60,84832.00
v_pooja_sai,64010.37,20114.00,84124.37
m_deepika,2.94,83494.50,83497.44
v_usha,13.58,82619.20,82632.78
b_pavan_teja,97.08,59550.80,59647.88
girigari_kashma,2016.96,56628.00,58644.96
e_lokesh,22976.85,9514.50,32491.35
v_mohitheswara_reddy,43.00,28254.95,28297.95
